,0
WHIM_103,0.9000357737744697
WHIM_100,0.8634381967028631
MORSE_203,0.8015022547909754
WHIM_42,0.8007106356701934
WHIM_104,0.7944809829283552
WHIM_9,0.7859910242580729
WHIM_102,0.780264301454635
aliphaticRings,0.7788714794967929
GETAWAY_203,0.7630233287954286
WHIM_31,0.7562591729042093
MORSE_35,0.7448706658657864
MORSE_67,0.7277806858227539
satureatedRings,0.7273129009116176
ringCount,0.7261281944594018
MORSE_47,0.7090602273754856
aromaticHeterocycles,0.7073207783799473
GETAWAY_238,0.7025667202739816
aliphaticHeterocycles,0.7011678960501544
JGI3,0.698365559699354
MORSE_43,0.6932277041536827
PEOE_VSA5,0.6931850916719471
GETAWAY_149,0.692917837585048
GETAWAY_148,0.6842337237543668
MORSE_202,0.6797627322495661
MORSE_79,0.6718744300446226
MORSE_218,0.6701327450940773
MORSE_215,0.6700297982879382
saturatedHeterocycles,0.670014018111711
GETAWAY_140,0.668617059193156
Kappa3,0.6637903845502126
MORSE_206,0.6637430254938879
GETAWAY_19,0.6568956868355033
WHIM_53,0.6567087089976108
GETAWAY_271,0.6562833850398991
BalabanJ,0.6550033905694655
max_abs_charge,0.6543613933073598
GETAWAY_237,0.6543263491296696
MORSE_94,0.6530737153618201
MORSE_62,0.6498524089061967
GETAWAY_12,0.6466451742313715
rotatableBonds,0.6460082999938072
JGI4,0.6423392937937746
GETAWAY_20,0.6413575764253152
PEOE_VSA2,0.64113700767347
MORSE_211,0.6398742055187031
GETAWAY_95,0.6369995116457368
MORSE_87,0.6326273790896989
MORSE_8,0.6316117677618827
JGI2,0.6297695383329804
MORSE_61,0.6295643065907474
MORSE_1,0.6264711360453733
HAcceptors,0.6256634912140748
GETAWAY_11,0.6251184511104753
GETAWAY_59,0.6248147631258978
GETAWAY_51,0.6229211612684101
GETAWAY_215,0.6223924706196482
PEOE_VSA10,0.621244919463815
LUMO,0.6183632350894965
GETAWAY_18,0.6180759012336898
min_charge,0.6155290734231055
AUTOCORR3D_6,0.6154619660853194
AUTOCORR3D_5,0.6153359363428064
MORSE_151,0.6139286373069283
MORSE_55,0.6138611997429488
MORSE_66,0.6132140913495481
MORSE_52,0.6128111227126326
MORSE_25,0.6118488911862073
MORSE_42,0.6112476599744522
PEOE_VSA4,0.6087998970518549
MORSE_3,0.6078478343734713
MORSE_57,0.6071502338363806
MORSE_73,0.6057911829393727
MORSE_207,0.6031176113863321
WHIM_21,0.6030487552905575
MORSE_74,0.602864774864143
GETAWAY_151,0.6021956824022188
WHIM_101,0.6017816730428484
GETAWAY_178,0.6016336806970869
MORSE_23,0.6014980325570098
HOMO,0.5997817660332254
GETAWAY_152,0.5997668566721474
GETAWAY_150,0.5992145693661489
GETAWAY_96,0.5990715878610048
MORSE_222,0.598475911064475
MORSE_89,0.5984007965051826
GETAWAY_229,0.5978409005592079
GETAWAY_260,0.5972006123043097
aliphaticCarbocycles,0.593473892823635
MORSE_212,0.5934112659585457
GETAWAY_259,0.5924345960041515
GETAWAY_153,0.5909910745087493
GETAWAY_52,0.5909570452885946
MORSE_204,0.5905856327829082
GETAWAY_57,0.590185659793217
aromaticCarbocycles,0.5899874715807377
MORSE_21,0.5894206857130195
GETAWAY_142,0.5885113318788048
GETAWAY_202,0.5871956089059902
GETAWAY_99,0.5870666701703011
GETAWAY_176,0.5865162603653468
MORSE_136,0.5864565361285169
GETAWAY_98,0.586336570062598
GETAWAY_147,0.5850656344567466
Electronegativity,0.5844078883392175
GETAWAY_34,0.5841395342361186
GETAWAY_228,0.5821255575192652
AUTOCORR3D_9,0.5821036602583208
MORSE_205,0.5817704343306312
MORSE_210,0.5812542063536512
GETAWAY_21,0.580850691787917
GETAWAY_270,0.5800891228403112
GETAWAY_100,0.5776770285585743
WHIM_20,0.5776098922277063
MORSE_75,0.5769677061859712
MORSE_217,0.5745877056912141
MORSE_63,0.573945055464626
WHIM_19,0.5728268071019652
GETAWAY_141,0.5719408105682589
saturatedCarbocycles,0.5717454344279224
GETAWAY_24,0.5713043028673115
GETAWAY_262,0.5696650951244115
GETAWAY_60,0.5696596291113718
MORSE_219,0.569251595796514
GETAWAY_193,0.5691870843179211
MORSE_216,0.5672675376429807
GETAWAY_204,0.5671829425585021
WHIM_74,0.5668373093710193
MORSE_133,0.5644334075329849
MORSE_41,0.5642367505767566
RDF_28,0.564189711300354
MORSE_50,0.5641592157445824
JGI7,0.5636940670962161
MORSE_2,0.5634043186931897
RDF_59,0.5632324338898808
RDF_29,0.5629542779867641
MORSE_65,0.5620769005921473
MORSE_48,0.5615121068847659
MORSE_34,0.5610103413280348
AUTOCORR3D_67,0.5602279282189226
MORSE_72,0.5591433595041363
GETAWAY_94,0.5589675507923517
MORSE_5,0.5589005326155553
GETAWAY_139,0.5582753381174438
GETAWAY_267,0.5580887323023376
GETAWAY_32,0.5576295073516028
AUTOCORR3D_27,0.5573479787503569
AUTOCORR3D_8,0.5566840751431139
MORSE_196,0.5542346923649265
GETAWAY_39,0.5514860706551385
SpherocityIndex,0.5513801828173783
MORSE_9,0.550841746303727
WHIM_10,0.5502596143367989
WHIM_30,0.5491245967173769
PEOE_VSA6,0.5485693771196498
GETAWAY_40,0.5481869791159524
GETAWAY_268,0.5469725441473423
GETAWAY_196,0.5447334105299056
AUTOCORR3D_24,0.5443548948421054
MORSE_208,0.5441814899767394
MORSE_51,0.5426232428619193
WHIM_8,0.5423056785507672
GETAWAY_42,0.5416986728425749
MORSE_82,0.5403823072319444
AUTOCORR3D_4,0.540338432215397
GETAWAY_97,0.5387038155701099
