Molecule ChEMBL ID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,is_imputed
CHEMBL3980601,-0.01815576488662199,-16.860726881191894,-8.721891906953164,-4.027075712333361,2.297546147636142,8.613662797051989,-3.2542059070100358,2.719960767833257,-1.5239102437410652,-3.4057992997508006,-0.23794128628981331,4.125151414088176,2.025597803633487,0.30249388033141217,3.1487354545278627,0
CHEMBL3687378,20.81439027205919,-1.487412463485133,-0.0023804268943951046,-3.653330348781017,2.981828736549268,-3.507315917673129,2.67684288461644,-0.43662456848818165,0.263234200202774,3.1547626913805393,-3.624368906736205,-4.88875456487976,1.03743439476144,2.444066212383449,-5.8044853320778556,0
CHEMBL3897132,0.11703164328129531,23.473129750305542,5.700899597328528,4.572822168524767,0.8044851250774704,5.7332075601532315,-2.923352736266557,1.267067141019406,-0.34515164051331876,0.6217221093078381,0.19528746720524115,-0.00029149609591425096,3.5576315215707877,-1.9949492063026744,2.3514453225747545,1
CHEMBL3687341,23.350218792374903,-1.07123578751898,3.6359272237449702,-5.741214819848703,-4.749268039897214,-4.550479711541242,1.611176239424908,-1.2906465457251481,6.7462966417209405,-2.018361596966994,-2.2503405636989298,-1.6465501432295377,4.05540429084799,4.107278980672526,4.027917424309333,0
CHEMBL3353599,7.2179957248254984,0.7096625184285623,26.254398451070035,1.6805029016227078,-9.298340875991993,-0.33195586956004,2.1264725334369947,4.755579518109182,2.1817923615590575,9.602540790150297,-2.2286839805553242,-1.0668958171824836,-1.3365695808393676,4.028413923537754,1.8482159035166088,0
CHEMBL3687338,13.635111710358501,-7.571010649577836,-0.1672755842495316,-1.3268601095317545,8.048646511259673,-3.338754353271108,0.7967086931347095,-0.9441047805594107,2.630545377503019,0.04426144989152758,-3.5063082938553825,1.3046636813407124,1.9314532923491206,-1.2434334276150365,-2.0625670263548925,0
CHEMBL5266721,10.299050476663743,25.21985174648791,-6.266323502791284,3.825951975605813,-8.586536300501248,3.5311938302661554,7.682273976810414,-0.8159170035393686,-4.87071201780256,3.704393995690706,2.303864464417054,-6.3032542960506035,-2.330698393948802,0.3541005482835144,-5.11879291366968,0
CHEMBL3687365,10.732118471143183,-4.156877491153354,8.27899895922297,-0.13617724480449656,9.648401600859543,-1.1909656097160486,-0.5824709136154563,-0.5345585513245832,6.784337149647413,4.65368398335305,-2.440095012496378,-2.375538389100376,-3.2374394419707153,-4.763355554044125,0.5467795228988257,0
CHEMBL3352829,-6.933736248877711,-2.863806713361826,17.513700610600626,3.3438638229297455,0.0999169673641488,-2.2603249793876574,3.320413913899204,4.556606099783685,-0.44175399640771656,9.363675877579134,4.234844503015003,2.341001147013467,3.457104225167616,1.8282651433813255,-2.5403720912597776,0
CHEMBL3889714,0.8319004123747412,-18.13731791792943,-9.677270861842842,4.637769181410627,3.162344891214913,9.110321375943577,1.7144254413668534,-3.0118565405110838,-3.2856163796633937,-2.7232963449961614,-2.54718821712334,1.6784334330285577,-0.0039025377916655918,-0.23833360002574436,1.3230649258289058,0
