fold,accuracy,precision,recall,f1_score,auc_roc
1,0.7333333333333333,0.682716049382716,0.7333333333333333,0.7069237431058846,0.8121449353330886
2,0.6666666666666666,0.6248353096179182,0.6666666666666666,0.6272363818090955,0.7009598305939768
3,0.6666666666666666,0.6224545333864331,0.6666666666666666,0.6350834705673415,0.7240463788373196
4,0.7555555555555555,0.7047233468286099,0.7555555555555555,0.7292252252252253,0.7559891240446796
5,0.651685393258427,0.6276286340759591,0.651685393258427,0.6339115178066489,0.7192462714453115
