fold,mae,mse,rmse,r2
1,0.58857733,0.5885807,0.76719016,0.4253949522972107
2,0.80655265,1.073254,1.0359797,0.1981189250946045
3,0.80958694,0.9841821,0.9920595,0.31390148401260376
4,0.74706215,0.946947,0.973112,0.30277812480926514
5,0.8485403,1.148536,1.0716977,0.22344666719436646
