fpr,tpr
0.0,0.0
0.0,0.034482758620689655
0.0,0.27586206896551724
0.041666666666666664,0.27586206896551724
0.041666666666666664,0.4482758620689655
0.08333333333333333,0.4482758620689655
0.08333333333333333,0.5517241379310345
0.125,0.5517241379310345
0.125,0.6896551724137931
0.16666666666666666,0.6896551724137931
0.16666666666666666,0.7931034482758621
0.2916666666666667,0.7931034482758621
0.2916666666666667,0.8620689655172413
0.375,0.8620689655172413
0.375,0.896551724137931
0.5,0.896551724137931
0.5,0.9310344827586207
0.625,0.9310344827586207
0.625,0.9655172413793104
0.7083333333333334,0.9655172413793104
0.7083333333333334,1.0
1.0,1.0
