Molecule ChEMBL ID,Potency,rotatableBonds,GETAWAY_96,PEOE_VSA4,GETAWAY_203,MORSE_75,AUTOCORR3D_27,WHIM_77,GETAWAY_149,GETAWAY_95,aliphaticRings,MORSE_216,GETAWAY_148,GETAWAY_94,GETAWAY_60,MORSE_205,JGI3,BalabanJ,GETAWAY_150,AUTOCORR3D_8,RDF_25,MORSE_45,GETAWAY_238,GETAWAY_24,HAcceptors,MORSE_94,RDF_27,MORSE_223,WHIM_0,GETAWAY_136,GETAWAY_145,GETAWAY_204,GETAWAY_100,AUTOCORR3D_4,RDF_26,AUTOCORR3D_28,MORSE_210,GETAWAY_229,RDF_182,MORSE_77,aliphaticHeterocycles,AUTOCORR3D_5,GETAWAY_18,GETAWAY_84,RDF_85,GETAWAY_59,GETAWAY_228,MORSE_22,RDF_28,WHIM_84,satureatedRings,MORSE_206,GETAWAY_257,MORSE_214,GETAWAY_237,PMI2,MORSE_200,MORSE_11,PEOE_VSA5,JGI4,Kappa3,GETAWAY_126,RDF_29,aromaticRings,MORSE_41,max_abs_charge,GETAWAY_41,MORSE_213,JGI2,MORSE_42,MORSE_201,RDF_24,WHIM_19,GETAWAY_34,WHIM_11,MORSE_194,TPSA,GETAWAY_258,GETAWAY_40,GETAWAY_151,GETAWAY_12,GETAWAY_202,ringCount
CHEMBL3687393,High Potency,1.1493688039537906,-1.074456793,0.948454501,0.5514504318867051,-0.860448466,0.002155054,0.3747098179944518,0.240555910888906,-1.407289544,-0.6299148569524761,1.6976696351869545,0.54604469,-1.020972217,-1.069954133,-0.001482067,1.0415292341669429,0.1425040274803729,1.2797196806118754,0.0548727289784381,-0.036697441,-0.263190475,0.338971705,-0.225904428,0.1939925557844803,-1.625613797,-0.050781663,-0.569712065,-0.471190077,-0.439699968,-0.778971698,1.4284146629854255,-1.017898344,-0.594961285,-0.577039245,0.6023257563214831,0.9970467014848065,-0.73690069,1.017901842164333,-0.045951402,-0.4170602971904646,-1.020507393,-0.080734999,-0.051462837,-0.261232483,-0.418092557,-0.789650323,-0.387584003,-0.475294174,1.542571562331977,-0.4990871544247903,-1.317582285,1.0484472181092053,-1.247947244,0.4845733372029094,-0.040621891,-1.331826445,-1.238689022,-0.790374272,0.2965659150321006,0.5083207882144315,0.047991822,-0.044394884,0.6956533720681974,-0.297873349,0.014449497768709,-0.557656474,1.5147928153552033,2.5322162865663778,0.9865189489094586,0.2222301962760363,-0.155325332,-0.340661499,-0.479909396,-0.565327109,-0.983774803,0.8081820952207026,0.6791227750415568,-0.702189663,1.8045363909728995,0.8886156010350587,0.4521479703981394,0.2657666502650008
CHEMBL4517528,Low Potency,-0.61930695554216,0.8654197214152886,-0.705658395,-0.339102011,0.1788614560347365,0.0179910659858913,-0.767626716,-0.164346877,0.3929752275751614,-0.6299148569524761,-0.48829129,-3.170894007,1.006430380558125,1.0222673195560938,0.2332285334842165,-0.695751785,1.0954798931294605,-0.747653102,-0.264688845,-0.58690871,0.5963896839484125,-3.163960515,-0.311181921,-1.25873032379243,-0.710321196,-0.560148712,0.7589451436800969,-0.155577617,-0.704874961,1.5036149109578534,-0.852281806,1.0153925771620138,0.8488132541305244,-0.64944308,0.9719547814258732,-1.170041395,0.1564870466981075,-1.468534994,0.071833378,-0.4170602971904646,-0.118211543,1.7801915496229974,-0.373271003,-0.67183688,2.040517238009044,-0.143123434,0.1028726061658131,-0.475294174,-1.484438491,-0.4990871544247903,-0.074960217,-0.416956568,0.4067777815928121,-2.993907807,-1.06740877,1.038771101362792,0.6744716418970764,-0.790374272,-0.752255446,-0.377445927,-0.877126691,-0.407218359,-1.3629769688033009,-0.44078024,0.0135812564055502,-1.156048272,-0.005030431,-0.246419303,-1.116830442,-0.288181231,-0.843612253,-0.944918185,-0.175682503,-0.551154016,0.6878645824915576,-0.541555663,-0.590709936,0.7912478639920852,-0.304748746,-1.201059079,-2.805151848,-1.8410380681993688
CHEMBL258502,High Potency,2.033706683701765,-0.870259265,-0.705658395,-1.214560344,-1.528576273,-1.264725932,0.1774684026427949,-0.790533746,-0.327130681,-0.6299148569524761,-0.19337316,1.3918616372361614,-0.431182371,-1.494936616,1.2450124578041215,-3.368249388,-0.853548885,-0.472330872,-0.432458671,-0.629878531,0.8199966848699581,1.188848712960732,-0.886276424,0.1939925557844803,1.081196638388244,-0.116747756,0.6407266231843042,0.2777808659396941,-0.950932687,-0.305227308,-0.954747879,-1.321374601,-0.6991512,0.1096746556214664,-0.743123895,-0.293390978,0.2557523508111646,1.939380967922852,0.9020261005864544,-0.4170602971904646,-1.170890035,-0.862324149,-0.756111753,-0.557249607,-1.57715146,0.000549207,-1.313470382,0.6789103434641599,0.089616623,-0.4990871544247903,0.4485664825072136,-1.760965957,-0.054873402,1.1490944991534364,-0.341169581,0.7393037810373901,-1.944912127,-0.790374272,-2.421461266,0.7495744768084646,-1.009459519,-0.00023169,-0.3336617983675517,0.2226085925365477,0.3115040449669735,-1.093715793,-0.693134784,-2.070031747,0.1132333606761262,-0.948498375,-0.086520867,-0.658691334,-0.572867613,0.0349851340515706,1.092356289620817,-1.469056379,-1.404731063,-1.269695923,0.5223443002556969,-0.56210086,0.4682732170248353,-0.7876357089671842
CHEMBL3577892,Medium Potency,0.2650309242058152,-0.155567918,-0.705658395,0.1740977019195891,0.8109315718918866,0.5564154849122469,-0.303717467,0.2546804267399914,-0.183109499,-0.6299148569524761,-0.181814218,-0.012660083,-0.468044236,-0.056534367,-0.10037824,-0.921372696,-0.244349027,0.3393333633681524,0.8697547424899285,-0.693098497,0.062056071356667,-0.623322898,-0.539528268,-0.7744893639334599,0.1603229851172477,-0.560148712,-0.00835997,-0.682041038,-0.818961876,-0.111422784,0.093050354,-0.137817199,-0.32704436,-0.64944308,0.9128141374091708,-0.86447939,-0.339839474,-0.818829197,-0.140939127,-0.4170602971904646,-0.501003722,-0.328858539,0.1427317460423525,-0.689741142,-0.101985583,0.072385528,-0.679465497,-0.475294174,0.2138173200636173,-0.4990871544247903,0.7822680871038269,-0.054631456,0.001803938,0.4271455824664432,-0.73169835,0.6900229404340644,0.3872136906241669,-0.790374272,0.080015376,0.1736431345484922,-0.652509127,-0.407218359,0.6956533720681974,0.08421455,0.0143356982579767,-0.470391004,-0.271631948,-0.031571046,-0.760052228,-0.518758488,-0.541987045,-0.963999975,-0.433430287,-0.796321264,0.692023711,-0.359518663,-0.392487239,-0.433370908,0.8072758759706303,0.6474992917427553,-0.665869129,0.2657666502650008
CHEMBL3682578,High Potency,0.2650309242058152,1.478012304951608,-0.705658395,0.1791290716524845,0.5542856523659967,1.3957241379445062,-0.34786883,0.3676765535486783,1.4011234998301825,-0.6299148569524761,-0.866764054,-0.229934161,0.3797786684700185,0.4665209962063972,0.5529629934252037,0.4017686050357056,-0.523693086,0.1462502411964374,0.765897231,-0.426636217,-0.099115209,-1.149437236,0.031337598,0.6782335156434505,0.8300492784052451,-0.220117304,1.238510840030954,-0.517668771,-0.275661484,-0.219091964,0.1194932114658702,0.2870495604754697,-0.341928634,-0.608189732,1.3120134845219114,-0.115684588,-0.141308866,-1.124110858,-0.498092976,-0.4170602971904646,0.1278691436440124,0.1053576559674153,1.7684178278378582,-0.402676149,0.1438753962528288,-0.143123434,-0.562234405,-0.475294174,0.061397361,-0.4990871544247903,-0.358118377,-0.165496747,0.1636034953389736,-0.516310388,-0.233794601,1.2352270031810164,0.2316629423064253,0.7728718962345421,-0.12553335,-0.395329211,-0.181016648,-0.407218359,1.7249685425039465,-2.136107257,1.057625894060282,1.461915842893857,-0.558471828,0.2787877609585303,0.7476716085379487,-1.008277664,-0.30650134,-0.70321551,-0.18413325,-0.499776555,0.7926019896011659,0.5240267776722322,-0.073855153,1.11980412,-0.379939023,-0.071831031,-0.483116334,1.3191690094971855
CHEMBL4439190,Low Potency,-0.1771380156681724,2.39690118,0.495828313242047,2.1011123096183306,-1.407676956,0.2555312508063423,-1.114118935,1.4034743826283076,1.6891658633316171,0.8573209424948863,-0.887900403,-1.137829417,1.817391419730968,1.87223228467916,2.896936542999579,2.3981644968336107,0.7370207825467971,1.5979492708578498,-0.783976403,-0.735574412,0.8388726005321664,-1.684544982,1.4761215807453851,1.1624744755024206,0.1212556180087812,-0.560148712,1.5299678213790715,-1.094004568,-0.382964853,0.9652690126054484,2.003546815925838,1.136783079943105,1.3697628301453162,-0.64944308,-0.462205836,1.2971845284134118,1.4469360001678564,0.000642263,0.5562707791470805,1.438432453575276,1.1668764864071326,2.090345974374032,2.434227827208032,-0.696902847,2.110763232148162,1.2936029837712546,2.1340807098300987,-0.475294174,-0.872938783,1.5799128391663746,-0.409236179,1.9539503183178444,1.600801523081386,-1.599233763,-0.72462429,2.104928158568829,-1.06610717,-0.790374272,1.6015705846990824,-0.371587973,-0.367478751,-0.407218359,-1.3629769688033009,-2.804008939,-1.2955539426028233,1.5616478091752726,-1.363725169,2.775477968,2.746525288,-1.926621738,-0.843612253,0.2445133966680504,0.9905205884195182,-1.017775837,0.4001585502295513,2.538421583480689,1.713167742725432,3.300222909086988,0.4986000022794524,-0.228556632,-0.767995691,-0.7876357089671842
CHEMBL3687372,High Potency,1.1493688039537906,-0.563962974,-0.705658395,0.9036463131893472,-1.286777638,0.4138913740199763,0.6588142410800498,0.7019567620243777,-0.903215408,0.8573209424948863,0.3459340153680997,0.2201335722134441,-0.799801025,-0.61228069,-0.084939697,0.996475668735162,-0.723544155,0.5073871919250151,0.5182370111712459,0.2665608341942332,-0.5710131,-0.32654045,-0.056054213,-0.2902484040744897,-0.113148585,0.417441585188365,0.4648858678556565,0.1755277406951849,-0.460667293,-0.908174714,0.7970914376312972,-0.501988708,-1.02660522,0.935022256916934,0.8684586543966439,-0.095537643,-0.836165994,-0.34200267,-0.693767691,-0.4170602971904646,-0.774426707,-0.266827654,0.2592484959321323,-0.186631394,-0.523461548,-1.076995606,-0.445003313,-0.088789626,1.422212818383927,1.5799128391663746,0.5522379792880893,0.7740711077176687,0.082228767,-0.278395404,0.2076722985294087,0.1520497008004672,-0.849244447,-0.790374272,-0.064626682,0.1547906304543734,-0.174051762,-0.172315857,0.6956533720681974,-0.066213756,0.014449497768709,0.090601307,-0.647598466,1.5663976216307616,1.9553434732913948,-0.388525037,0.8156897970204927,-0.760460881,-0.348922817,-0.124189599,0.002400669,0.3983768481937678,0.6834830035786603,-0.164552153,0.2057536605724366,1.3869226402391517,-0.112235662,1.3191690094971855
CHEMBL3687391,High Potency,1.591537743827778,-1.329703703,0.948454501,0.4910739950919676,-0.561381733,-0.330401205,0.969153532063192,0.2311395669881821,-1.551310726,-0.6299148569524761,0.6857668892487745,0.4606870160260556,-1.094695948,-0.939190292,0.1643144581435418,1.1338024018300965,0.1246874457069791,0.7648313548206352,-0.20876557,0.8785103511063006,-0.742348335,0.3164881858210951,-0.192780112,0.1939925557844803,0.171485090005381,1.3280456946059105,-1.713606365,0.2968149974787148,-0.308345844,-1.29578376,0.9788860836756798,-1.04824597,-0.981952399,0.6470907237890353,0.2474818922212685,1.1688123253294904,-0.73690069,1.0217567829961467,-0.746960817,-0.4170602971904646,-1.020507393,-0.527357371,-0.21236692,0.6590465579005891,-0.347846563,-0.861486644,0.1387596751351471,0.6484713405451455,2.1665857035328595,-0.4990871544247903,-1.105070076,0.863258828,-0.417735033,0.2138424934452843,0.6034658578509801,-0.052304485,-0.684610444,-0.790374272,0.50192154,0.7658156562279006,0.2944125064236946,-0.103406047,0.6956533720681974,1.0018272213045014,0.014449497768709,-0.420525021,0.2183699645460387,2.3960623601854643,0.790962689,0.5523887682823642,1.1473563917234104,-0.760460881,-0.42497954,0.064557837,-0.299400186,0.8081820952207026,0.5972846394220741,-0.433370908,1.6897722840877178,1.3065505371417172,0.3876469838913487,0.2657666502650008
CHEMBL4238340,Low Potency,-0.61930695554216,2.2437530343720096,0.948454501,-0.892552681,0.7939632466339765,0.6989395958045175,-0.381622227,-0.762284715,2.985356499088073,-0.6299148569524761,0.8624535632294946,-1.044711955,1.3013253038937047,1.7087774836939555,0.0235775964900212,-1.235879527,-0.280651448,-1.044429012,0.2466096733340831,-0.459974872,-0.003283637,-0.857151492,0.02640419,0.1939925557844803,0.110093513,-0.560148712,-0.572686115,-0.166201319,-0.025286956,0.1039155752416007,-0.888640735,1.2581735827241949,0.9976559901347496,-0.64944308,0.7353922053590636,-0.491502607,2.9359155618637205,1.0875873110471173,-0.589281192,-0.4170602971904646,0.7020574120131051,-0.167578238,1.0970594118062669,-0.650948575,0.8112123405744601,2.874002043846046,0.6005066292072403,-0.475294174,-0.5130758,-0.4990871544247903,0.0445061058570977,-0.53401545,0.3421846118066362,-0.212763685,-0.513901513,-0.817770544,0.3997031667664673,0.7728718962345421,-0.795474703,-0.369295089,0.087737094,-0.407218359,0.6956533720681974,0.099257381,-0.9154753706905744,1.0754544735533684,0.7196586561828456,-0.409399159,-0.63615017,0.1540635072751918,-0.791282097,-0.836788041,-0.010892935,-0.463934985,-0.468769122,-0.480728665,-0.230487978,2.284685390834289,-0.75984779,-0.670603199,-0.558367485,0.2657666502650008
CHEMBL4777635,Medium Potency,0.2650309242058152,-0.46186421,-0.705658395,0.1841604413853788,-0.168989212,0.3822193493772495,-1.237454808,0.2593885986903539,-0.399141272,-0.6299148569524761,-1.379320536,-0.284252681,-0.578629832,1.87223228467916,-0.803167561,0.6181582295948029,1.312846920268174,-0.057559721,0.6460616407416759,-0.735574412,0.2464592474413184,-0.776210825,-0.616348489,-1.25873032379243,-0.408944364,-0.560148712,0.5500180728667777,-1.067445314,-0.873846933,1.4390134031555648,-0.234180009,1.7740832195438303,1.05719308453644,-0.64944308,-0.861405183,-1.465271633,-0.538370082,-0.405609193,0.3112024469180735,-0.4170602971904646,2.1648703814296018,-0.626606786,-0.256754254,-0.696902847,0.8112123405744601,-0.57414136,-0.07895521,-0.475294174,-1.05784684,-0.4990871544247903,1.1116620117787968,-0.140103021,0.76742298,0.5666129868264296,-0.961842827,1.0336539034671872,-0.198656281,-0.790374272,0.3352108976143574,-0.182044319,-0.793850884,-0.407218359,-0.3336617983675517,-0.836406687,-1.694765446321483,0.477062676,-1.403423497,-0.643700115,-0.056945369,-0.811402506,-0.843612253,0.1491044462956081,-0.49681089,-1.02159167,1.3728003522754757,-0.674753468,-0.178165236,0.2088072285236256,1.4364997723411097,0.3661969309017353,-0.977623897,-0.7876357089671842
