,0
rotatableBonds,3.117405458084998
GETAWAY_96,3.1172269053109565
PEOE_VSA4,3.0895397164621143
GETAWAY_203,3.0749111014515402
MORSE_75,3.011168617631432
AUTOCORR3D_27,2.9963938919238036
WHIM_77,2.990414197048383
GETAWAY_149,2.984837925562052
GETAWAY_95,2.9682148479585964
aliphaticRings,2.9671798144632477
MORSE_216,2.96435951676042
GETAWAY_148,2.938332269541511
GETAWAY_94,2.907782273532823
GETAWAY_60,2.8973310553119305
MORSE_205,2.8942233646090654
JGI3,2.8734640408183094
BalabanJ,2.869818456176389
GETAWAY_150,2.8572843477718592
AUTOCORR3D_8,2.840652841886217
RDF_25,2.839059188852689
MORSE_45,2.8389830846216144
GETAWAY_238,2.838837543307271
GETAWAY_24,2.8359154988357926
HAcceptors,2.8350104450891163
MORSE_94,2.834221324565163
RDF_27,2.828263548111979
MORSE_223,2.825320866815447
WHIM_0,2.8234375038144313
GETAWAY_136,2.8171608616780524
GETAWAY_145,2.8072009448091997
GETAWAY_204,2.8069220925469907
GETAWAY_100,2.8051630243200907
AUTOCORR3D_4,2.8049586071045782
RDF_26,2.8017575045531764
AUTOCORR3D_28,2.799124221809406
MORSE_210,2.7925813216845046
GETAWAY_229,2.792306963243519
RDF_182,2.7864309403246152
MORSE_77,2.784970150177167
aliphaticHeterocycles,2.784920559372553
AUTOCORR3D_5,2.775918596002429
GETAWAY_18,2.7757595769494183
GETAWAY_84,2.768600208469187
RDF_85,2.7646268907420133
GETAWAY_59,2.759058165737287
GETAWAY_228,2.758166119515927
MORSE_22,2.749337827737803
RDF_28,2.73686687474723
WHIM_84,2.7352019225590594
satureatedRings,2.723942827797219
MORSE_206,2.723366477800055
GETAWAY_257,2.720215428351953
MORSE_214,2.7185225440151877
GETAWAY_237,2.7150936347085306
PMI2,2.709423977371615
MORSE_200,2.7085279537839626
MORSE_11,2.7078918592984857
PEOE_VSA5,2.707099665313985
JGI4,2.7058019396050934
Kappa3,2.694964818435132
GETAWAY_126,2.6927639581449236
RDF_29,2.686436001952401
aromaticRings,2.6864192569086565
MORSE_41,2.6826999769852407
max_abs_charge,2.6826549149232615
GETAWAY_41,2.680456238523578
MORSE_213,2.677652835406994
JGI2,2.6775594436036827
MORSE_42,2.6759869031195223
MORSE_201,2.6757045737996723
RDF_24,2.6737446727735836
WHIM_19,2.670301583158617
GETAWAY_34,2.6673224891257
WHIM_11,2.6649910118215554
MORSE_194,2.6638084275670018
TPSA,2.6635796215626244
GETAWAY_258,2.6562903964433873
GETAWAY_40,2.6501535129057356
GETAWAY_151,2.649438253019363
GETAWAY_12,2.6486812692425774
GETAWAY_202,2.6467130923850295
ringCount,2.6424307096023147
GETAWAY_153,2.6420670862001954
GETAWAY_21,2.6420362152780807
RDF_4,2.6398863673804063
MORSE_193,2.6395497876905463
MORSE_48,2.6388359266268155
MORSE_219,2.6364211999354796
MORSE_65,2.6338866391622617
MORSE_207,2.633079687912675
PEOE_VSA3,2.630090060170088
GETAWAY_37,2.6283662086031603
MORSE_66,2.625818578767668
MORSE_80,2.62565210041746
MORSE_197,2.6246722100059645
RDF_23,2.6245386363648784
GETAWAY_76,2.6217741640083867
WHIM_101,2.616958310214278
WHIM_106,2.613795804560328
GETAWAY_152,2.6080770217284486
PEOE_VSA14,2.6060861727475064
GETAWAY_193,2.6043703608748556
MORSE_47,2.6030177682742117
MORSE_63,2.601260950297038
Asphericity,2.597249647891522
AUTOCORR3D_7,2.596433387704603
MORSE_203,2.5952262594899187
GETAWAY_265,2.5940404748359867
MORSE_92,2.5921918968091466
GETAWAY_182,2.5874453205755774
GETAWAY_137,2.586590771176199
MORSE_209,2.586239380685792
max_charge,2.5845224570828655
GETAWAY_171,2.582394864199758
GETAWAY_134,2.5823379473424515
GETAWAY_220,2.581211445057076
