fpr,tpr
0.0,0.0
0.041666666666666664,0.3793103448275862
0.041666666666666664,0.4482758620689655
0.08333333333333333,0.4482758620689655
0.08333333333333333,0.5172413793103449
0.16666666666666666,0.5172413793103449
0.16666666666666666,0.6896551724137931
0.20833333333333334,0.6896551724137931
0.20833333333333334,0.7931034482758621
0.25,0.7931034482758621
0.25,0.8275862068965517
0.4166666666666667,0.8275862068965517
0.4166666666666667,0.896551724137931
0.4583333333333333,0.896551724137931
0.4583333333333333,0.9655172413793104
0.5,0.9655172413793104
0.5,1.0
1.0,1.0
