hidden_dim,dropout,lr,mean_auc,std_auc,mean_balanced_acc,std_balanced_acc
64,0.0,0.001,0.7344506355657293,0.04640157339282558,0.48886669665617033,0.02781463825607754
64,0.0,0.0005,0.7348562739886091,0.05564712247479409,0.4907722297195981,0.03625077861171342
64,0.0,0.0001,0.7042056084277801,0.06223011123870741,0.3434197031039136,0.03478301423434901
64,0.2,0.001,0.7444769949919678,0.05450078059103641,0.5002950967161494,0.03773033069393536
64,0.2,0.0005,0.7283358107185995,0.05234981338988693,0.48284000599790067,0.03781807468207244
64,0.2,0.0001,0.7137547203306429,0.06511175870729864,0.3535984405458089,0.042131122663309505
64,0.4,0.001,0.7378146754547238,0.05090591091221628,0.48272874493927126,0.03868619049401773
64,0.4,0.0005,0.7283634630980366,0.05415667797845365,0.5002863997600839,0.02163399386920615
64,0.4,0.0001,0.6868649823379103,0.08174121404265472,0.3619919028340081,0.055986717272086824
128,0.0,0.001,0.7427703585372974,0.052039112930702736,0.48129944519418205,0.042374371447629074
128,0.0,0.0005,0.7395451330390834,0.0517417825472716,0.47806177837756786,0.03486209743434006
128,0.0,0.0001,0.7073307019659107,0.05815454969839928,0.46132883490778226,0.04909840479646436
128,0.2,0.001,0.7444364668962369,0.053111703986730006,0.4879019343229869,0.03505517732167451
128,0.2,0.0005,0.7480595582074712,0.05715135384523828,0.49009116809116804,0.02658931188558583
128,0.2,0.0001,0.7168819174876344,0.06868080006368546,0.4563169890538311,0.05904525443829435
128,0.4,0.001,0.7425988632315008,0.05258553288509179,0.48995381616434247,0.04024241972080703
128,0.4,0.0005,0.7401592940791367,0.05331635192776901,0.48356965062228213,0.03623997585969316
128,0.4,0.0001,0.7009542406351239,0.05378470912446548,0.46904153546258803,0.043561545500366776
256,0.0,0.001,0.7527010340995519,0.05448644006926413,0.48656890088469035,0.038905904957051485
256,0.0,0.0005,0.7383980235276362,0.0526883487191095,0.4888367071524966,0.0416244704127383
256,0.0,0.0001,0.7252522209535217,0.051819203557811465,0.501072424651372,0.03447029433543112
256,0.2,0.001,0.74683188455693,0.049955356808322825,0.4824315489578647,0.04011544801056836
256,0.2,0.0005,0.7419100481759283,0.0501990946933445,0.48355225671015145,0.0385720363320825
256,0.2,0.0001,0.722458314819325,0.05495824493154339,0.4905698005698006,0.02691586668468255
256,0.4,0.001,0.7507570374439702,0.04898714875889577,0.4889179787074524,0.039029680023513945
256,0.4,0.0005,0.7396224978221349,0.05775551759564092,0.483019943019943,0.03834381684563209
256,0.4,0.0001,0.7271976268505307,0.055719159000005375,0.49560683760683755,0.027684204028962836
