,0
GETAWAY_84,3.276269419086711
GETAWAY_79,3.215959789895719
GETAWAY_19,3.168562842587456
GETAWAY_241,3.1609818509073544
GETAWAY_103,3.157069403040168
GETAWAY_119,3.1508043974802646
GETAWAY_151,3.1004449925452677
GETAWAY_94,3.081775805535332
GETAWAY_237,3.0710248356727314
GETAWAY_203,3.0608920544069025
GETAWAY_240,3.0319554874311776
GETAWAY_205,3.028148774150132
Kappa3,3.0242727313088
GETAWAY_24,3.0163215527257177
GETAWAY_150,2.98472240220795
GETAWAY_99,2.984250834591528
HAcceptors,2.972249045714138
GETAWAY_229,2.958111337492809
GETAWAY_230,2.953616012739478
AUTOCORR3D_27,2.9528163990326832
GETAWAY_204,2.952574565641561
GETAWAY_56,2.9432488786886664
GETAWAY_148,2.9419020977746726
GETAWAY_239,2.941704733556551
GETAWAY_120,2.9401205577741916
GETAWAY_78,2.935803687774304
JGT,2.92454492908611
AUTOCORR3D_47,2.9228693525973175
GETAWAY_152,2.915475858162005
GETAWAY_243,2.914639182830969
GETAWAY_59,2.908866824122027
AUTOCORR3D_38,2.897502135393035
GETAWAY_206,2.8960108556141457
AUTOCORR3D_45,2.8956537837663268
GETAWAY_149,2.893702392834615
GETAWAY_242,2.888461763117199
AUTOCORR3D_77,2.8881146256042416
GETAWAY_232,2.884569976522805
GETAWAY_121,2.8827616502303925
AUTOCORR3D_34,2.8820996949125086
JGI1,2.8780183831178086
GETAWAY_222,2.8727132897064793
AUTOCORR3D_54,2.866471542826717
BalabanJ,2.8636553414141748
GETAWAY_55,2.8632939620598217
GETAWAY_176,2.859833533548264
aliphaticRings,2.8548483749159344
GETAWAY_34,2.85365506283181
GETAWAY_238,2.8505225997608643
GETAWAY_95,2.8491728428419085
GETAWAY_193,2.8474134176337333
GETAWAY_54,2.842026931068141
GETAWAY_20,2.8405988251992853
MORSE_65,2.838595897914366
GETAWAY_21,2.8307778188325217
AUTOCORR3D_49,2.830704861855736
GETAWAY_80,2.8290926076986618
GETAWAY_147,2.8274774105225555
GETAWAY_118,2.824845004575655
AUTOCORR3D_75,2.8188185499344587
GETAWAY_145,2.8180168775512597
AUTOCORR3D_4,2.815775698259958
MORSE_214,2.8059796819092595
GETAWAY_96,2.8038669046245714
GETAWAY_98,2.8036989928813703
MORSE_1,2.7970486255688773
GETAWAY_207,2.7884453092563803
GETAWAY_43,2.7806340752871406
HallKierAlpha,2.775427291027545
WHIM_101,2.775084360617741
GETAWAY_153,2.7687320202289967
AUTOCORR3D_48,2.768552542818546
GETAWAY_81,2.756906175831548
AUTOCORR3D_58,2.751651620205549
GETAWAY_201,2.750430667452609
AUTOCORR3D_25,2.749944297920078
AUTOCORR3D_8,2.746748196785408
AUTOCORR3D_44,2.7431162747086777
GETAWAY_97,2.74088143532579
rotatableBonds,2.7404342342158303
MORSE_33,2.7401460807842
GETAWAY_186,2.7387211926785624
AUTOCORR3D_78,2.737408145872763
GETAWAY_231,2.7336801723988753
MORSE_129,2.7331707946391472
AUTOCORR3D_55,2.732310675350064
GETAWAY_187,2.729609872733073
GETAWAY_182,2.729194481678906
AUTOCORR3D_35,2.7244627253096936
GETAWAY_41,2.7240973978105463
WHIM_19,2.7235435589659147
AUTOCORR3D_46,2.7162347987518816
JGI2,2.7157148785900596
GETAWAY_58,2.7129140179452764
GETAWAY_233,2.709866399753304
GETAWAY_122,2.708293857591272
MORSE_97,2.7080377476151534
GETAWAY_105,2.707745158127744
MORSE_161,2.7069692698646994
GETAWAY_179,2.7006350801828174
GETAWAY_202,2.698188937698596
GETAWAY_220,2.6955001892989814
AUTOCORR3D_59,2.6884773839799996
GETAWAY_171,2.688126670912068
MORSE_37,2.6877356673947794
aromaticRings,2.683658866601728
GETAWAY_174,2.6789942026878646
GETAWAY_18,2.6786477670312028
GETAWAY_195,2.6723267437803857
AUTOCORR3D_74,2.6638323881700487
GETAWAY_172,2.663187275085318
AUTOCORR3D_24,2.6626191437306543
AUTOCORR3D_56,2.6613664529976675
RDF_122,2.660645589681859
AUTOCORR3D_79,2.6594510635168795
GETAWAY_44,2.659053299499093
GETAWAY_60,2.6580240977243474
GETAWAY_228,2.6574371866252307
GETAWAY_236,2.65743718662523
MORSE_107,2.6549364819819314
MORSE_34,2.654721594039171
AUTOCORR3D_36,2.6531044573957066
AUTOCORR3D_28,2.6498808366523665
GETAWAY_223,2.649775952926043
AUTOCORR3D_5,2.649752671256501
RDF_36,2.643474229416248
GETAWAY_42,2.6415360385284545
AUTOCORR3D_29,2.640881038162589
GETAWAY_168,2.64087150958995
MORSE_42,2.6371401930467475
GETAWAY_262,2.633554813962547
MORSE_83,2.633278696511315
MORSE_193,2.631207604056778
GETAWAY_188,2.6291162562334867
GETAWAY_57,2.6245256692779697
MORSE_43,2.621746138988326
GETAWAY_197,2.620343870950883
AUTOCORR3D_39,2.6185556250338977
GETAWAY_224,2.6164558185993814
AUTOCORR3D_26,2.6129712175905304
MORSE_11,2.6124544238122613
GETAWAY_35,2.611857863948189
AUTOCORR3D_68,2.610193882372256
aliphaticHeterocycles,2.6098517474722143
MORSE_63,2.607259471550804
aromaticHeterocycles,2.6062591468401495
GETAWAY_178,2.6053999681473865
JGI3,2.605365078046373
GETAWAY_170,2.603134287008866
PEOE_VSA2,2.601671852970718
ringCount,2.6007068902155304
MORSE_2,2.598685186472414
GETAWAY_100,2.596658390103465
GETAWAY_184,2.595651426027373
WHIM_85,2.595501416357241
WHIM_104,2.595063585543088
MORSE_139,2.588648833088452
GETAWAY_259,2.5885447899985716
GETAWAY_61,2.588397359382042
AUTOCORR3D_53,2.5869583433644436
GETAWAY_37,2.584114400533262
MORSE_75,2.5814663288312176
Kappa2,2.580913552050451
GETAWAY_185,2.580082546014046
WHIM_89,2.579093573957959
MORSE_147,2.5785841970081447
GETAWAY_261,2.5767381262546687
MORSE_156,2.5688906347068916
GETAWAY_167,2.568542816392423
MORSE_90,2.5637282715693233
GETAWAY_198,2.56269839508692
MORSE_144,2.5616119158543813
AUTOCORR3D_33,2.560898351776564
MORSE_3,2.5603155118925534
GETAWAY_63,2.5578621671354664
WHIM_87,2.5555581607095395
AUTOCORR3D_76,2.5529844625382414
MORSE_112,2.5513225742401886
GETAWAY_75,2.5505988029671816
MORSE_38,2.5497857938292148
AUTOCORR3D_9,2.5489782166298576
MORSE_163,2.548905180202474
MORSE_92,2.548101146842394
GETAWAY_194,2.54719557935021
MORSE_130,2.546094757303489
GETAWAY_169,2.5457901302611106
MORSE_171,2.545620772254578
GETAWAY_141,2.5433219515576404
MAD,2.542265390805962
WHIM_84,2.537830212384543
RDF_124,2.533410304237494
GETAWAY_82,2.5330291365659483
GETAWAY_192,2.5321680571955882
GETAWAY_200,2.5321680571955882
MORSE_162,2.531039953689823
AUTOCORR3D_64,2.529869943721413
GETAWAY_22,2.5251576294916855
GETAWAY_175,2.5238141198544723
RDF_2,2.5230020515952356
MORSE_188,2.522967888018216
GETAWAY_244,2.5183688459113154
MORSE_210,2.5177015019946465
WHIM_7,2.5175118597856523
WHIM_62,2.5163840134330893
MORSE_28,2.516346531669009
aromaticCarbocycles,2.5160454317044136
GETAWAY_183,2.5140991573843054
WHIM_40,2.513550653059791
MORSE_154,2.5112727522924616
WHIM_90,2.511179471771034
MORSE_133,2.510965040513619
AUTOCORR3D_6,2.510179875298917
PEOE_VSA5,2.509101807344491
PEOE_VSA3,2.5084229378499625
heteroatoms,2.508408955663687
MORSE_16,2.507365330564973
MORSE_207,2.506972416416087
WHIM_51,2.505051423748268
WHIM_29,2.5046112680055366
MORSE_40,2.504560507081473
MORSE_66,2.5044222294671816
GETAWAY_33,2.5029730817862057
WHIM_73,2.5018080007605707
MORSE_99,2.500351222459227
GETAWAY_258,2.4998012434214827
MORSE_101,2.4994818769546416
GETAWAY_221,2.4986361357525957
GETAWAY_260,2.4980710246378144
MORSE_22,2.495072570307664
RDF_62,2.4948450947480043
AUTOCORR3D_19,2.4930856559418055
MORSE_98,2.490903214652737
GETAWAY_154,2.4906538504664555
MORSE_72,2.490037548371427
Variance,2.4898136898471233
MORSE_80,2.489682254769442
AUTOCORR3D_17,2.4896089657153655
MORSE_69,2.488265979038375
RDF_152,2.484279729347456
GETAWAY_219,2.4831569216611316
MORSE_176,2.4826426891823226
RDF_4,2.4823688908246098
GETAWAY_196,2.4781992361744978
JGI7,2.47717824167933
WHIM_18,2.4760977187866984
WHIM_91,2.4743082629659763
GETAWAY_112,2.470590320845738
MORSE_185,2.470531418468254
GETAWAY_12,2.470256984743119
AUTOCORR3D_15,2.4700684349147632
MORSE_138,2.4679861278130573
WHIM_86,2.467135531664954
WHIM_88,2.4665712003994384
AUTOCORR3D_18,2.4662302514957903
satureatedRings,2.4654067896376564
GETAWAY_135,2.465318246631654
AUTOCORR3D_37,2.4645048047176603
TPSA,2.4630101270243463
GETAWAY_65,2.462791353095558
GETAWAY_106,2.460420232024155
MORSE_5,2.45847291298311
AUTOCORR3D_43,2.4584465050373043
MORSE_95,2.4583547987570094
GETAWAY_142,2.4560744230325944
