,0
WHIM_103,0.8856554586095775
WHIM_100,0.8476484968879423
MORSE_203,0.8103669303081477
WHIM_9,0.7903937948073293
WHIM_42,0.7799694127683897
WHIM_104,0.7783785199277342
GETAWAY_238,0.7696156001101045
WHIM_102,0.7660434874543546
WHIM_31,0.7358292326973997
satureatedRings,0.7347724533940105
PEOE_VSA5,0.7302556868823731
GETAWAY_148,0.7242718554020182
GETAWAY_203,0.721293807215849
max_abs_charge,0.7211375292131277
aliphaticRings,0.7197356385246331
MORSE_67,0.7186008763055217
MORSE_212,0.7106037284385572
MORSE_47,0.7085817030022395
GETAWAY_140,0.7033317062903335
MORSE_35,0.6971087190187961
MORSE_218,0.6963238540460642
GETAWAY_12,0.6924601688861038
ringCount,0.691099603046689
GETAWAY_271,0.6862702404743258
MORSE_206,0.6848620527313058
JGI3,0.6827964797296342
Kappa3,0.6819498951392355
MORSE_202,0.6814235260674212
aromaticHeterocycles,0.679377474955336
WHIM_53,0.6790598764573446
GETAWAY_237,0.6778052316063305
GETAWAY_19,0.6773710380777157
MORSE_79,0.6763717355515781
aliphaticHeterocycles,0.6759939248901959
rotatableBonds,0.6742544201279945
MORSE_62,0.6666551189304126
MORSE_94,0.6655166513146886
PEOE_VSA4,0.6645690457283383
BalabanJ,0.6624131294168785
GETAWAY_215,0.6613399629337745
GETAWAY_147,0.6594252959285745
GETAWAY_18,0.6576643704219902
GETAWAY_59,0.6532498104426426
MORSE_219,0.6529546006378252
GETAWAY_51,0.6525518153801022
MORSE_43,0.6524151640780042
GETAWAY_20,0.6522245308529896
MORSE_52,0.6447220077832835
GETAWAY_149,0.6433708811725152
MORSE_207,0.6432255446873005
saturatedHeterocycles,0.641432815331562
GETAWAY_202,0.6412817696927015
PEOE_VSA10,0.6385425683293459
MORSE_1,0.6384726652453134
GETAWAY_228,0.6330584164080237
MORSE_42,0.6315868113002062
MORSE_3,0.629972681054902
MORSE_211,0.6296429516133321
MORSE_215,0.6296037525308703
MORSE_48,0.6237935681375884
GETAWAY_94,0.6233427847428917
GETAWAY_32,0.6219547941324514
GETAWAY_229,0.6208837953290408
PEOE_VSA2,0.6180440568494024
GETAWAY_260,0.6171644307298891
GETAWAY_132,0.6166850962113058
MORSE_87,0.6166679414153663
HAcceptors,0.6164528713718631
LUMO,0.6154490244354388
GETAWAY_95,0.6147327761378281
JGI4,0.6146588447922355
GETAWAY_153,0.6141992306481254
GETAWAY_96,0.6138664927377325
GETAWAY_98,0.6127960217843164
AUTOCORR3D_6,0.6112140603682588
aliphaticCarbocycles,0.6109911277702986
WHIM_19,0.609042224611784
min_charge,0.6079070711445056
MORSE_222,0.6055842506112895
GETAWAY_52,0.6038560341655154
MORSE_205,0.6038451360588662
GETAWAY_11,0.6038275376554388
GETAWAY_150,0.6038214856310209
JGI2,0.6024880637255081
GETAWAY_40,0.6018996681296849
GETAWAY_99,0.6002472420003
GETAWAY_142,0.6001199043401744
AUTOCORR3D_5,0.5999358732999539
GETAWAY_267,0.5971902027284643
MORSE_89,0.5964420271729998
GETAWAY_262,0.5963849757768573
MORSE_25,0.5956771433534526
GETAWAY_151,0.5950832103899812
MORSE_151,0.5929150876510131
MORSE_73,0.5926562711637108
saturatedCarbocycles,0.5922044170022508
GETAWAY_259,0.5919456742592795
GETAWAY_212,0.5909424806256403
HOMO,0.5905339277801522
GETAWAY_139,0.5881180033427132
MORSE_63,0.587250127651331
MORSE_66,0.5862970711223191
MORSE_210,0.5829271413714836
MORSE_217,0.5823472680801803
GETAWAY_251,0.581537517675476
PEOE_VSA1,0.5803140659344614
MORSE_34,0.5793460184014516
MORSE_2,0.579031936842227
GETAWAY_5,0.5773064408984807
MORSE_57,0.5753666585887133
MORSE_21,0.5746436782885793
WHIM_8,0.5738411513022197
MORSE_196,0.5714990648383022
MORSE_65,0.5707779004379807
GETAWAY_257,0.5703521846681199
GETAWAY_84,0.5702506026221621
MORSE_55,0.5690640688345886
GETAWAY_57,0.5689206730855327
WHIM_20,0.5683898802101949
GETAWAY_129,0.5683174257756198
GETAWAY_60,0.5678590471237487
GETAWAY_100,0.5674726156863305
WHIM_101,0.5671716486528561
WHIM_21,0.5668734793326534
JGI7,0.566544644414623
WHIM_74,0.566057994584023
AUTOCORR3D_65,0.5659891899290039
MORSE_74,0.5654083473766869
GETAWAY_193,0.5646919069390988
GETAWAY_137,0.563498428056575
MORSE_5,0.5633976612471955
GETAWAY_258,0.5621600810340728
WHIM_7,0.5620334313203075
GETAWAY_176,0.5616738550794438
GETAWAY_210,0.5613068605985004
Ipc,0.5611508846686523
Electronegativity,0.5607880636612435
MORSE_8,0.5601661992377455
GETAWAY_152,0.5593813707103997
GETAWAY_21,0.5592215775158407
AUTOCORR3D_4,0.5590809220007912
aromaticCarbocycles,0.5586078332325509
MORSE_54,0.5571613547337285
MORSE_204,0.5567047131013612
MORSE_136,0.5559119975117459
GETAWAY_6,0.5542680514652699
GETAWAY_234,0.5541604427502064
AUTOCORR3D_8,0.5537003182147581
MORSE_197,0.5528243444833414
MORSE_208,0.552780259015079
MORSE_61,0.5526714957566061
GETAWAY_178,0.5526548688518271
MORSE_50,0.5522501209382091
GETAWAY_24,0.5517834513460417
HDonors,0.5516228297181248
WHIM_52,0.5506888068343951
GETAWAY_197,0.5503145058396189
GETAWAY_141,0.5496226027609075
GETAWAY_268,0.5495991449957134
MORSE_58,0.5495012768718985
MORSE_133,0.5493396750100512
AUTOCORR3D_67,0.5488178798967493
GETAWAY_58,0.5486940895098488
GETAWAY_41,0.5474039298165045
