Molecule ChEMBL ID,Potency,WHIM_103,WHIM_100,MORSE_203,WHIM_9,WHIM_42,WHIM_104,GETAWAY_238,WHIM_102,WHIM_31,satureatedRings,PEOE_VSA5,GETAWAY_148,GETAWAY_203,max_abs_charge,aliphaticRings,MORSE_67,MORSE_212,MORSE_47,GETAWAY_140,MORSE_35,MORSE_218,GETAWAY_12,ringCount,GETAWAY_271,MORSE_206,JGI3,Kappa3,MORSE_202,aromaticHeterocycles,WHIM_53,GETAWAY_237,GETAWAY_19,MORSE_79,aliphaticHeterocycles,rotatableBonds,MORSE_62,MORSE_94,PEOE_VSA4,BalabanJ,GETAWAY_215,GETAWAY_147,GETAWAY_18,GETAWAY_59,MORSE_219,GETAWAY_51,MORSE_43,GETAWAY_20,MORSE_52,GETAWAY_149,MORSE_207,saturatedHeterocycles,GETAWAY_202,PEOE_VSA10,MORSE_1,GETAWAY_228,MORSE_42,MORSE_3,MORSE_211,MORSE_215,MORSE_48,GETAWAY_94,GETAWAY_32,GETAWAY_229,PEOE_VSA2,GETAWAY_260,GETAWAY_132,MORSE_87,HAcceptors,LUMO,GETAWAY_95,JGI4,GETAWAY_153,GETAWAY_96,GETAWAY_98,AUTOCORR3D_6,aliphaticCarbocycles,WHIM_19,min_charge,MORSE_222,GETAWAY_52,MORSE_205,GETAWAY_11,GETAWAY_150,JGI2,GETAWAY_40,GETAWAY_99,GETAWAY_142,AUTOCORR3D_5
CHEMBL2443084,High Potency,0.077035506,-0.013050569,-0.064736092,-1.265329456,-1.238089538,0.5379687883231814,0.2445409258508157,0.4400545482365902,-0.570570604,1.5799128391663746,-0.790374272,0.2123737837033607,1.7791046467130576,0.1331192693026978,2.3445567419422484,1.7667131018836035,-1.627449247,-1.047844687,-0.662834347,1.2873934446049025,0.2885052272754856,1.2543086701283848,0.2657666502650008,1.0504431539297927,-0.828517025,-1.45549567,-0.232877178,-0.40243599,-1.3313903548400827,0.1895184303195772,-1.426950499,1.409677760651545,-1.596162393,3.293925204341016,-1.945813775164123,0.7310960292021282,0.9305082223984448,0.948454501,-1.558206423,0.2302180723479906,-1.171093939,1.507255655842088,0.2492443874615071,0.3032531040564128,0.8689758531191758,0.1397822806847711,0.09813711,-1.30802271,1.676548355749302,0.3098195764823052,2.9605934038158224,0.2478948464599676,0.4074507758251922,0.6270606426111294,1.221766662858764,-1.107873667,1.7182139326640782,1.073334061,-0.64049289,0.4195023736728964,0.6378117263886508,0.4984094391257119,2.538854345,-0.835653652,-0.98259943,1.7325726874682084,-0.073630132,-1.25873032379243,1.383601491,0.1049328640737265,1.494170459338729,-0.490634932,0.6612221935698481,1.1543494976244777,-0.482824862,-0.4388787337840141,1.4466661713608224,-0.5781835572565697,0.5266125439157759,0.089379831,0.064970791,1.3231450901960524,1.562193137122347,0.3783368122906033,-0.746992789,0.8792681171661543,-0.271937948,-0.788097856
CHEMBL4777173,Medium Potency,-0.736835185,-0.145995622,-0.119108922,0.3645881430779319,-0.070828491,0.0263116766734421,0.3254815933173791,-0.908256768,-1.099046,1.5799128391663746,-0.790374272,0.972833058,0.3250387939064357,-0.3535613113845224,0.8573209424948863,0.3203667650057214,-0.022129757,-1.398324788,-0.364925774,0.0301302924491028,0.387490951,-0.847421826,-1.8410380681993688,-1.082733801,-0.151349741,-0.351497942,-0.93519268,-0.985307793,-1.3313903548400827,-0.285003214,-0.401454879,1.5714075751582932,-1.07298346,-0.4170602971904646,-1.0614758954161476,1.7199081461260897,2.5043650116252385,-0.705658395,1.1726008786147897,0.336248086,0.1282378194694659,1.5320680098221708,-0.347846563,-0.818525178,-1.302393736,-1.244289252,0.7782792827275857,0.1795635794051147,1.0927350339044195,-1.082144797,-0.315596251168184,-0.735745198,-0.485968969,-0.191474839,0.1442218491714066,-0.570467151,0.3816592484372791,-0.180746081,-0.447412468,-0.439721645,-0.283734909,-0.923413815,0.057221743,-0.835653652,-0.654382481,-0.881487917,-1.819088145,-1.25873032379243,0.207626084,0.032922273,0.6040377453930522,0.7064988173197291,-0.104518536,0.5110222104950294,0.7231419337615999,1.7690188961755648,-0.925836395,-0.1428366831242803,0.513085616,-0.962703898,1.428708743046634,-1.002948267,1.4871052562777909,0.9069766021229966,-0.881402166,0.3212305029034932,-0.587403658,0.5380036210505073
CHEMBL3967426,High Potency,-0.553057932,0.013538441122575,0.0203782997944703,-1.00454264,-1.069143861,-0.054476288,0.8920662655833305,-1.10087267,-1.825699671,-0.4990871544247903,-0.790374272,0.902994961,-1.823356082,0.0424639735141101,-0.6299148569524761,-1.874048866,0.3557761932946491,0.058062117,-1.094288144,-1.896712693,0.290068159754472,-0.996110217,0.2657666502650008,-0.986943472,0.4141050431340694,1.5589826841995476,-0.767336999,0.2390694649506796,2.0877037239508103,-1.297316054,0.057967159,-1.351281216,-0.078943488,-0.4170602971904646,-1.0614758954161476,0.0147565844972138,0.2049714046697809,-0.065339637,0.3772479687462589,-0.830082064,0.145562243,-0.229609123,-1.155675495,-0.810392883,-0.896897005,-0.001129979,-1.078616807,0.9296334594792988,-1.492051367,-0.737687187,-0.315596251168184,-0.316488785,0.3836220435310535,0.677679129,-0.645977681,0.3923861897353281,-2.252154135,0.8395106078022403,0.1515117501819529,1.7434639122661104,0.2323312068022291,-1.004919607,0.3550176549242222,-0.163956863,-1.351452762,-0.924064094,0.3370658710852034,0.1939925557844803,0.46385902,-0.111098909,-0.215179385,-0.031311711,-0.666061737,-0.489709125,0.5169937635547326,-0.4388787337840141,-0.766821477,-0.4970903285327713,-0.331220137,-1.313398475,0.5737714642261218,0.3316336590931937,-0.00392552,-0.105187151,-0.717124038,-0.729193242,-0.71165711,-0.487332572
CHEMBL5278729,High Potency,-2.154545421,-2.113582398,0.8665031885162652,-0.140686313,0.4360085427066265,-3.097489637,-0.36251408,-3.027031693,-1.396313411,-0.4990871544247903,2.179001443932348,-1.455980746,-3.423331657,0.239539097552849,-0.6299148569524761,-1.197111359,1.814305769182772,0.2877686692373712,-0.683379766,-1.150544453,-0.258000163,-1.623012621,-0.7876357089671842,-0.342200869,-0.307574933,0.1187975575353594,-1.578433898,0.2078870228063339,0.9480056976871792,-1.75602031,-3.100559351,-2.275451584,0.8061008733436862,-0.4170602971904646,-1.5036448352901353,1.5309351637806217,0.37798403,-0.103288405,0.8788714795578523,-0.193901982,-3.648486493,-1.246915636,-1.963504428,-0.690321946,-1.707890466,0.0474064657484383,-1.445677662,2.696534474047356,-3.389444663,-0.402348243,-0.315596251168184,-1.622633762,1.1484364501578477,-0.739231912,2.802165722933556,-0.543596825,-1.738850333,-0.144584196,-1.277845736,1.1949655605632077,2.8126617859885497,-1.086425398,0.8513441754895108,-0.835653652,-1.592145191,-1.064040565,-1.588071644,1.1624744755024206,-0.311252507,0.6090070002012365,0.060766174,-1.872221313,1.8353579786811287,-1.740623294,1.2488197677891142,-0.4388787337840141,-0.766821477,-0.6733785196464364,0.3778163363958067,-1.664093051,0.2488908233343698,-1.526979024,-3.057499342,-1.015349906,-0.717124038,-2.370480342,-0.337516159,1.1258630386664832
CHEMBL3931425,Low Potency,2.1773469678074404,2.379960374998037,0.0256064565463351,2.108599974119528,2.033313133934354,1.8036469066146448,1.454154234101138,1.8158824215836176,2.303014366573033,-0.4990871544247903,2.589074365020217,0.6546817287781601,-0.505137212,1.48904107127443,-0.6299148569524761,-0.326932497,1.4591544867089434,1.9004507536298687,0.1575148781360143,0.0407465072441458,0.6073434529887103,-0.847421826,0.2657666502650008,0.3099102212570573,0.1786185407509173,0.5737797175851407,0.0252791898858745,-0.849917361,2.0877037239508103,2.324865828598728,0.6322447065252471,1.2826043349676712,1.503672783587511,-0.4170602971904646,-0.1771380156681724,-1.044371061,-1.447020119,-0.705658395,-1.117626978,0.2302180723479906,0.093588973,0.3534811957682419,1.0921963171309357,-1.060102164,-0.661447291,1.4283466144576815,0.7242997452274434,1.2434702293848152,-0.748160199,1.0420484608590614,-0.315596251168184,1.3712870281199054,1.5075648836018882,0.7918248317802197,0.072385528,-1.295965948,-0.159642943,-1.319318842,-0.111396299,0.4897533940880465,-0.431182371,-0.416266667,-0.836165994,1.8505685111663848,0.042062625,-0.480805267,1.4215600043980583,2.130956395220361,0.395766979,-0.831204817,0.3910996540088222,-0.93549128,-1.023407411,1.0113878782623775,-1.60633239,-0.4388787337840141,0.747000535,0.5259037278892711,-0.863279304,-0.516365346,-2.001556481,-1.021798294,0.4036944040920575,-0.705641747,-0.55284591,1.1746997953052103,-0.265034978,-0.938480498
CHEMBL3682564,High Potency,-0.999374118,-0.863898905,-0.050097253,-0.808952528,-0.992350371,-0.323769505,-0.367010784,-0.495508406,-0.025580351,1.5799128391663746,-0.790374272,0.4451674390058872,0.38038386096828,1.057625894060282,0.8573209424948863,0.717519243,0.2567264637604908,-0.512652101,-0.234315611,-0.07224035,0.3010086871073767,1.4994435845755594,1.3191690094971855,-0.622203371,0.3296745166698661,-0.245489219,0.4331981856934799,0.1236677773566481,-0.1916923285764517,0.1262488777779726,-0.245579544,-0.715914087,-1.003226269,-0.4170602971904646,1.591537743827778,0.1905454052836959,0.3221735059951804,-0.705658395,-0.885780952,-0.087871968,0.561348406,-0.341264716,-0.488338551,-2.043631438,2.1377882031128297,-0.405078458,-0.560413247,-0.84354429,0.5277543998609848,-0.491255237,-0.315596251168184,-0.18211173,-0.534688291,0.3950084255395484,-0.358632397,0.7446860167833048,1.2373293182362808,0.4740298049153095,-0.260893033,-0.066850845,-0.504906102,0.4440722446954259,-0.339839474,-0.835653652,0.1264612685172934,0.1817500308069618,-0.407320635,0.6782335156434505,1.996188522,-0.111098909,0.096838855,0.1712245125933708,-0.104518536,-0.311007101,-0.616821173,1.7690188961755648,-0.913115201,-1.405175808795519,0.420651608,1.667505425224602,0.2822291260154105,1.7189956615489048,0.2141868952938931,1.1118561378953502,0.1640041027183594,-0.466587305,-0.460389017,-0.883795901
CHEMBL1939972,Low Potency,0.6283672650139184,1.0505098503489003,0.1558921228028052,1.570727166,1.388247818246233,1.9921521582750743,0.1995738883693921,0.9628691401084606,2.269984654272976,-0.4990871544247903,-0.790374272,0.9573134806714452,0.8935835737235575,0.2607205839079203,2.3445567419422484,-1.161545465,-0.065408242,-0.458185599,-0.116913217,-0.863906654,0.3265365842641545,-1.112649766,0.2657666502650008,-1.067996828,-0.047678244,0.2062861905789436,-0.786311568,0.7430523546511726,-1.3313903548400827,3.0999178472333835,0.1892305985582304,0.8898319283084261,-0.711118031,1.438432453575276,0.2650309242058152,-0.081927267,0.6905229673035789,-0.705658395,-0.553277152,-0.511992023,0.3707797478029567,0.5519800276089037,1.1975653083396145,0.1630906150781501,-1.080024561,0.2462493216283406,1.415237825229264,0.8951114147896921,1.1539412692591244,-0.699844723,-0.315596251168184,0.097392545,-0.546327472,0.4746969661370601,1.724620909246198,-0.094265266,-0.730908322,0.9304419506914956,-0.381333975,-0.02632141,0.7115354572225457,-1.013975806,0.057221743,-0.147782915,-0.433070482,-0.952059388,-0.458657635,-0.2902484040744897,-1.389968346,0.1769434549490852,-1.632054831,0.05187281,0.3549259018016876,1.0113878782623775,-0.462210045,1.7690188961755648,0.2953981702000197,-0.6923258420588799,-0.414072571,-1.265576487,0.7371067726634349,-0.456297478,0.428723697706909,-2.209938522,0.7464447381868191,1.7655631515833223,-0.666787808,0.1552114421377787
CHEMBL3934736,High Potency,-1.393182517,-1.1032,-0.074983279,-0.564464888,-0.854122089,-0.40455747,-0.699766861,-0.77067398,0.090023642,-0.4990871544247903,-0.790374272,-0.167855853,-0.625890086,0.3113260906809438,-0.6299148569524761,-0.463268422,-1.144693358,-0.465289925,-0.094900268,-0.147312155,-0.361153706,0.4666620597735278,-0.7876357089671842,-0.047461393,0.4097973632124263,-0.130125406,-0.075894049,-0.329410442,-1.3313903548400827,0.3951444760797911,0.9932191648687436,-0.577288532,0.2306040473925305,-0.4170602971904646,0.7071998640798028,-1.092712986,-0.710321196,-0.705658395,0.7954470626601541,1.608608249180819,1.0291078389938604,-0.949167388,-0.38296956,-0.287055809,-0.059742465,0.074023226,-0.042209687,-0.837267555,-0.310300207,-0.923024074,-0.315596251168184,-0.853997006,0.4825109646260143,-1.125172459,0.072385528,-0.331619811,-0.542287595,1.3201477059311624,0.7176310429285199,-0.09657243,-0.173149313,-0.633615445,-0.339839474,0.5400878211187679,0.2308655168839503,-0.404984679,0.568082373,-0.7744893639334599,0.620694815,0.3929752275751614,-1.329045771,1.006686434159512,-0.002419772,-0.882853578,1.0323641890719024,-0.4388787337840141,-1.002163555,-0.737593621505529,-0.635012394,-0.070026794,0.9252779978631342,0.052653256,-0.772682396,-1.990930609,-0.224289654,-0.499413047,0.018677071,0.9618092477038852
CHEMBL3981050,Low Potency,1.783538568792138,1.6354680811945206,0.8127577371070952,1.7011205743434537,1.4189652142313816,1.399707081628008,1.3597234553901447,1.595749961848093,1.807568682072173,-0.4990871544247903,0.7728718962345421,0.9185145381210216,0.8885522039906631,-0.4594433059268312,-0.6299148569524761,0.042952795,1.425691740244701,-0.261632569,5.123636129182033,0.6686197822652569,-1.585971793,-0.738919487,0.2657666502650008,0.4241217680871805,0.2458183475285485,0.5083953765575746,0.3030502306908186,-0.557548651,2.0877037239508103,2.1350571709739152,0.254862318,0.4508510032186807,-0.466967863,-0.4170602971904646,0.2650309242058152,1.218910006884616,0.283106139,0.948454501,-1.039440312,2.032728304,-0.209588438,0.2418256028578696,1.1624423112700548,0.7514860466251232,-0.321353259,1.5864814840944546,0.7782792827275857,2.564723030687039,0.1040189243284098,-0.309109882,-0.315596251168184,1.236909972897425,1.372987659825947,1.3148825229980712,0.8625850582963113,-1.248196479,0.5000384027550514,-0.111582087,-2.176232064,1.1328204271190363,-0.504906102,-0.434379065,-0.637635386,1.8505685111663848,4.497060671698726,-0.468557326,-0.785931013,1.6467154353613909,0.632589374,-1.04723659,1.0968231607525898,-0.874007069,-1.023407411,0.5110222104950294,-1.843402785,-0.4388787337840141,0.6833945683812844,-0.0481228252469084,1.5191508827137512,-0.341018058,-1.478436,-0.803137979,0.6790166338554285,-0.070477555,2.448963518786932,0.912093859,-0.41206823,-1.26658808
CHEMBL5279438,Low Potency,-0.526804039,0.2262505250664369,0.0525837453859573,0.4786823750152326,0.1902693748254375,-1.454801015,-0.047744818,-2.118985296,-1.099046,-0.4990871544247903,0.7728718962345421,0.0183790709512545,-1.284999521,-0.2321282800551274,-0.6299148569524761,-0.464453952,0.1474148253106315,-0.458185599,-0.840405468,-0.091197877,0.5036689318826127,-1.703384724,-1.8410380681993688,-0.843257977,-0.211082903,-2.197258951,-1.504897154,-0.040772965,-0.1916923285764517,-0.791159634,-1.763313062,-0.380902329,-0.397210672,-0.4170602971904646,-1.0614758954161476,0.3839131081488262,0.093350356,-0.705658395,1.458709049495909,0.5483081131555667,-1.283702692,-0.564575901,-0.523461548,-0.539635311,-1.838695863,-0.773016026,0.2276880002261351,0.7884069130218165,-0.771701058,-0.970669105,-0.315596251168184,-0.891622582,0.1578475605921676,-0.52852484,1.2936029837712546,-0.983971609,-0.68522674,-0.167755889,-0.3827399,0.7464398148357104,1.3013253038937047,-1.059256801,0.057221743,-0.835653652,-1.792201236,-1.058208212,-0.51641176,-0.2902484040744897,-0.596618494,2.625303545,-2.445793343,-1.973489425,2.4989999441788098,-0.775632364,-0.049913705,-0.4388787337840141,-1.192981456,-0.2514612979199054,-0.880751586,-1.552508413,0.3927601429579211,-1.734329323,-2.449645068,-0.508554736,-1.12035217,-0.236807111,-0.806227793,1.0575072924320672
