Molecule ChEMBL ID,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13,Factor14,Factor15
CHEMBL3682608,-0.7794952521669356,0.07057359071121355,-0.4049287457095961,2.0018406491747904,-0.6918158086723907,-0.626780944551073,0.15362599340084138,-0.4501692734003305,0.3517413659964931,-0.6666191476662345,-0.0998294653723353,-0.544060881630384,-0.9251443262832504,-1.1288711022268587,-0.9651320199881721
CHEMBL5181908,-0.14646825883887182,-0.5630523188772341,1.5575692416184834,-0.16795389857485954,0.3975273184266118,-0.3585480021726543,-0.15053806816458404,1.5564327803610363,-1.170461332113085,-1.2940417612148236,1.104236215510573,0.594547203240564,0.4887517133325366,1.9864989340994306,1.663840916277306
CHEMBL3687383,-0.2223791453453571,-0.1008121816713452,-1.9581524397265084,-1.0034261742979882,-0.17471358262095588,-1.912283705458463,-1.0264370954663187,0.10581555651069267,0.6275220038397635,1.3742637337819952,1.5422898225471153,0.20262747045928253,-1.2158343074059494,1.0214485597427598,-1.723717283789925
CHEMBL3924146,0.2725504574362605,0.4251038937241237,-0.5596965530761169,-0.3289673089505303,0.544955196545596,-1.147550503814533,-1.5155071057937162,2.265558319420877,0.85767857928766,-1.1355481501987525,0.5322857691536637,-0.02223401163892815,-0.7559654855651176,3.6127524277583665,0.19795164140606378
CHEMBL2442034,-0.14124478090927306,-0.3185065173648169,2.4287763721445566,-0.5739618542418795,-0.22292342676040197,-0.3654112265891135,1.0832993256727015,-0.3037410443950494,-0.45407063166617817,0.018414277761829276,0.2386563917232604,0.7961523092550415,-0.21899536213462384,1.9817483799550786,0.14150635091921
CHEMBL3353590,-0.14567475545114478,-0.7247872125769563,-0.23228816270375377,0.6631803815392618,-1.4413894500128124,-0.057390669492913035,0.7299532754015003,0.684172770892761,-0.030983555147141788,1.7206558733066064,1.6395781241375154,-0.2331946056544602,2.026978898289883,0.2586491366886291,-0.6350456305049651
CHEMBL497318,0.16423124656736154,1.5171916232616502,3.223383951348107,-0.17710976553701804,-0.8322256437513054,1.2159449715438284,-0.01711709708364164,-0.8495880238617302,-0.6952808428716326,1.0314297280310998,2.5427189925324263,-0.7261314379026954,1.0935885651617123,-2.0320398156136035,-1.1060395556858411
CHEMBL3896353,-0.785266481074385,1.390774299404147,-0.6887461809754817,0.010603222187641146,0.8607868924742602,2.4426521774690144,-0.5773130469623684,-0.08552501619613943,2.256196001701273,-0.9323357691486278,0.19352864848253018,-0.04641650414299403,0.9790478705740017,0.7313347866704247,-0.2965698414801458
CHEMBL3353609,0.10045622157514,-0.9394850581869317,-1.8076722579384812,-0.6427004745414991,-0.11336599272103084,0.15355529287001066,-0.7273766989708725,1.2550823958564137,0.3022574005750732,1.4286244628924072,1.7890876620057303,-0.9214927056722015,0.2932362660242914,-0.8806014107463563,0.13023583752554832
CHEMBL3353573,0.15619404567935177,-1.0350258246470228,-0.8069053984098316,-0.39343091168575584,-0.6820928638890007,0.252307083912543,-0.3486894932133636,0.7020252583907177,0.33250143380157804,0.7736534080869096,1.8502826892390123,-0.14738545085557528,0.6030480303965,-0.7633187011126891,-0.3349293917961289
CHEMBL5285119,-1.498375017864337,1.949933346946253,0.33385595914750293,1.9085940574003386,1.4038155880661796,-0.4238079755350768,0.3840169861353026,-0.11962614042510668,1.379294607272704,2.3822049599541977,-0.6725254249073991,1.053635510700138,-0.6310831648379002,-1.0088983813178842,-2.1438068200598352
CHEMBL3900018,-0.2209561154899576,-0.4259645000261701,1.720577204397099,-0.17500077320980587,0.10071796457481634,-0.7749188977058404,-0.9247971728906403,-0.3138231923371483,-0.4322194646715961,-0.16361229705910668,1.9144660567481622,0.7917633071506446,-0.9199722803300604,1.4665045217842667,0.44816160483876594
