fold,mae,mse,rmse,r2
1,0.7232443690299988,0.8558170199394226,0.925103788739092,0.31904172897338867
2,0.6779193878173828,0.918375551700592,0.9583191283182195,0.26192647218704224
3,0.7748818397521973,0.9427390098571777,0.9709474804834594,-0.01183629035949707
4,0.7086381912231445,0.8037322163581848,0.8965111356576586,0.312818706035614
5,0.7937460541725159,0.9254561066627502,0.9620062924236775,0.26740068197250366
6,0.6569756269454956,0.7865819334983826,0.8868945447449672,0.4029407501220703
7,0.6892033815383911,0.8869253396987915,0.9417671366631942,0.38531064987182617
8,0.8483401536941528,1.1548917293548584,1.074658889766822,-0.08513987064361572
9,0.9477209448814392,1.3426268100738525,1.1587177439194813,-0.01147449016571045
10,0.5962753891944885,0.526057243347168,0.7252980376005218,0.6797775030136108
