,0
PEOE_VSA4,3.210551846380677
GETAWAY_148,3.117294438493314
BalabanJ,3.059859757936318
GETAWAY_238,3.051695792523263
GETAWAY_202,2.9883767336799294
aliphaticRings,2.9873880758410776
HAcceptors,2.974363955366266
GETAWAY_203,2.949717985535624
GETAWAY_257,2.9461828995626553
GETAWAY_150,2.9363282654192018
GETAWAY_96,2.930816095064354
MORSE_75,2.927885581349696
rotatableBonds,2.9195479164582507
MORSE_216,2.900426455160318
max_abs_charge,2.8907130803473415
RDF_182,2.886099822825226
GETAWAY_18,2.876594843968145
AUTOCORR3D_27,2.8759926570601344
JGI3,2.8758760822244525
aromaticHeterocycles,2.8678137838120197
WHIM_77,2.822496210878106
MORSE_43,2.8179545126458505
GETAWAY_95,2.8169922132565617
MORSE_42,2.8035926267085527
MORSE_200,2.8027932242467277
GETAWAY_145,2.7934775616843996
MORSE_206,2.787960896487931
GETAWAY_204,2.7874423514548883
GETAWAY_100,2.7786953337175153
MORSE_219,2.774858722486023
AUTOCORR3D_8,2.7675632781427595
RDF_27,2.758006493340039
GETAWAY_24,2.7578319919971173
MORSE_210,2.753334495254192
MORSE_194,2.7498642189742055
MORSE_45,2.7462307062700253
GETAWAY_237,2.7386839192281376
RDF_25,2.7258857971844015
GETAWAY_149,2.7241114735579095
GETAWAY_60,2.7220008671327647
PEOE_VSA3,2.719678709092556
GETAWAY_20,2.715876333749745
MORSE_223,2.714006509811598
MORSE_205,2.7062405312704567
MORSE_193,2.705827722497953
GETAWAY_153,2.703094858811465
aliphaticHeterocycles,2.7013270222229333
GETAWAY_59,2.699316860989404
RDF_29,2.6986435794725403
WHIM_19,2.6898713867985617
RDF_28,2.687488593698813
GETAWAY_94,2.6837445108221383
MORSE_211,2.681487013943459
AUTOCORR3D_4,2.6805994408123857
MORSE_197,2.6804609310691525
AUTOCORR3D_28,2.6801470300543015
satureatedRings,2.6799894384759644
MORSE_22,2.679763970311665
MORSE_218,2.6776283829928498
AUTOCORR3D_5,2.670383047305425
WHIM_84,2.6688254837134795
MORSE_94,2.6667311330670826
GETAWAY_258,2.6639689547374195
RDF_26,2.6632407230509925
JGI4,2.663016426912397
MORSE_90,2.6609383618240208
AUTOCORR3D_26,2.657824039606861
MORSE_214,2.6576037514790505
WHIM_101,2.653914665928018
MORSE_77,2.6484587107680477
MORSE_203,2.647882511739046
GETAWAY_141,2.640746885511098
GETAWAY_19,2.636085422584671
MORSE_40,2.628682465102041
GETAWAY_229,2.625815442797605
JGI2,2.6250460023223954
AUTOCORR3D_9,2.6250368109747213
Kappa3,2.623949908945145
GETAWAY_152,2.6211325404232384
GETAWAY_40,2.6210589656932464
MORSE_74,2.6187187472654863
MORSE_1,2.6185337922529777
GETAWAY_41,2.617990019653102
GETAWAY_137,2.6169819108744363
PEOE_VSA14,2.613624793772944
RDF_23,2.6108165070007647
MORSE_95,2.610778692992251
GETAWAY_84,2.6098473148286376
MORSE_207,2.608280393183248
ringCount,2.6046017340215712
MORSE_209,2.60321535729631
MORSE_41,2.6018191661214782
MORSE_10,2.601412453177898
GETAWAY_151,2.6013145077242483
GETAWAY_193,2.601198750829576
MORSE_201,2.5974488804033955
AUTOCORR3D_3,2.592978856667266
MORSE_220,2.5920621137182445
GETAWAY_228,2.589123585784846
MORSE_65,2.5887302994091517
MORSE_33,2.588357506222486
molLogP,2.5876138547484544
GETAWAY_220,2.5854396968526947
PEOE_VSA5,2.5821427497949094
GETAWAY_223,2.581787860414776
MORSE_215,2.5807214661569415
