hidden_dim,dropout,lr,mean_mse,std_mse
64,0.0,0.001,1.1631753623485566,0.1184794663568555
64,0.0,0.0005,1.2191520810127259,0.11480798502833381
64,0.2,0.001,1.1463606178760528,0.10808410856263771
64,0.2,0.0005,1.2018338322639466,0.09310356980916767
128,0.0,0.001,1.1464980304241181,0.15611398306455435
128,0.0,0.0005,1.1879827618598937,0.1220833553534792
128,0.2,0.001,1.1125593423843383,0.10558111833620556
128,0.2,0.0005,1.1571983575820923,0.11328541647782796
