"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key";"Inchi";"Withdrawn Flag";"Orphan"
"CHEMBL1909927";"";"";"Small molecule";"";"430.50";"2";"3";"4.52";"72.45";"7";"0";"0";"11";"N";"0.38";"None";"None";"4.24";"4.24";"2";"MOL";"-1";"31";"7";"0";"0";"430.1992";"0.98";"NEUTRAL";"C24H30O7";"C=CCc1cc(OC)c(O[C@H](C)[C@@H](OC(C)=O)c2ccc(OC)c(OC)c2)c(OC)c1";"SITDJJDXDVFCAP-IQMFZBJNSA-N";"InChI=1S/C24H30O7/c1-8-9-17-12-21(28-6)24(22(13-17)29-7)30-15(2)23(31-16(3)25)18-10-11-19(26-4)20(14-18)27-5/h8,10-15,23H,1,9H2,2-7H3/t15-,23-/m1/s1";"False";"-1"
"CHEMBL1457614";"";"";"Small molecule";"";"261.35";"10";"12";"2.75";"38.33";"3";"1";"0";"5";"N";"0.90";"13.32";"None";"2.86";"2.86";"2";"MOL";"-1";"18";"3";"1";"0";"261.0823";"-2.43";"NEUTRAL";"C14H15NO2S";"Cc1ccc(OCC(=O)NCc2cccs2)cc1";"KMXRKRJXICHWML-UHFFFAOYSA-N";"InChI=1S/C14H15NO2S/c1-11-4-6-12(7-5-11)17-10-14(16)15-9-13-3-2-8-18-13/h2-8H,9-10H2,1H3,(H,15,16)";"False";"-1"
"CHEMBL3353608";"";"";"Small molecule";"";"523.29";"2";"2";"5.64";"87.57";"4";"1";"2";"6";"N";"0.42";"3.52";"None";"5.67";"2.30";"3";"MOL";"-1";"33";"6";"1";"2";"521.9831";"-1.81";"ACID";"C20H12Cl2F4N2O4S";"O=C(O)c1ccc(S(=O)(=O)N(Cc2ccc(F)c(C(F)(F)F)c2)c2ncc(Cl)cc2Cl)cc1";"HYWCVPHJIWYXQG-UHFFFAOYSA-N";"InChI=1S/C20H12Cl2F4N2O4S/c21-13-8-16(22)18(27-9-13)28(10-11-1-6-17(23)15(7-11)20(24,25)26)33(31,32)14-4-2-12(3-5-14)19(29)30/h1-9H,10H2,(H,29,30)";"False";"-1"
"CHEMBL3353577";"";"";"Small molecule";"";"513.93";"3";"3";"3.87";"99.60";"5";"2";"1";"8";"N";"0.48";"13.91";"None";"3.65";"3.65";"3";"MOL";"-1";"34";"7";"2";"1";"513.0737";"-1.70";"NEUTRAL";"C22H19ClF3N3O4S";"O=C(NCCO)c1ccc(S(=O)(=O)N(Cc2ccccc2)c2ncc(C(F)(F)F)cc2Cl)cc1";"TUAVQGYGMJCFLF-UHFFFAOYSA-N";"InChI=1S/C22H19ClF3N3O4S/c23-19-12-17(22(24,25)26)13-28-20(19)29(14-15-4-2-1-3-5-15)34(32,33)18-8-6-16(7-9-18)21(31)27-10-11-30/h1-9,12-13,30H,10-11,14H2,(H,27,31)";"False";"-1"
"CHEMBL2443069";"";"";"Small molecule";"";"483.28";"1";"1";"5.50";"58.64";"3";"1";"1";"1";"N";"0.58";"13.37";"None";"4.04";"4.04";"2";"MOL";"-1";"30";"5";"1";"1";"482.0453";"-1.10";"NEUTRAL";"C21H18BrF3N2O3";"O=C1CC2(CCN(C(=O)Nc3ccc(C(F)(F)F)cc3)CC2)Oc2c(Br)cccc21";"WIQUXEWNCTULPV-UHFFFAOYSA-N";"InChI=1S/C21H18BrF3N2O3/c22-16-3-1-2-15-17(28)12-20(30-18(15)16)8-10-27(11-9-20)19(29)26-14-6-4-13(5-7-14)21(23,24)25/h1-7H,8-12H2,(H,26,29)";"False";"-1"
"CHEMBL2032210";"";"";"Small molecule";"";"414.40";"7";"29";"6.02";"32.34";"1";"1";"1";"2";"N";"0.51";"13.62";"None";"5.89";"5.89";"3";"MOL";"-1";"30";"3";"1";"1";"414.1355";"-1.46";"NEUTRAL";"C23H18F4N2O";"O=C(Nc1ccc(F)cc1)N1CCc2ccccc2[C@H]1c1ccc(C(F)(F)F)cc1";"ADCDUDFEGFKKQH-OAQYLSRUSA-N";"InChI=1S/C23H18F4N2O/c24-18-9-11-19(12-10-18)28-22(30)29-14-13-15-3-1-2-4-20(15)21(29)16-5-7-17(8-6-16)23(25,26)27/h1-12,21H,13-14H2,(H,28,30)/t21-/m1/s1";"False";"-1"
"CHEMBL3930336";"";"";"Unknown";"";"";"5";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"-1";"";"";"";"";"";"";"";"";"";"";"";"False";"-1"
"CHEMBL465718";"DELTA9-TETRAHYDROCANNABINOLIC ACID A";"";"Small molecule";"";"358.48";"14";"46";"5.43";"66.76";"3";"2";"1";"5";"N";"0.54";"2.89";"None";"6.25";"2.77";"1";"MOL";"-1";"26";"4";"2";"1";"358.2144";"2.31";"ACID";"C22H30O4";"CCCCCc1cc2c(c(O)c1C(=O)O)[C@@H]1C=C(C)CC[C@H]1C(C)(C)O2";"UCONUSSAWGCZMV-HZPDHXFCSA-N";"InChI=1S/C22H30O4/c1-5-6-7-8-14-12-17-19(20(23)18(14)21(24)25)15-11-13(2)9-10-16(15)22(3,4)26-17/h11-12,15-16,23H,5-10H2,1-4H3,(H,24,25)/t15-,16-/m1/s1";"False";"-1"
"CHEMBL4062360";"";"";"Small molecule";"";"388.46";"1";"1";"4.30";"66.38";"6";"1";"0";"10";"N";"0.61";"9.91";"None";"4.29";"4.29";"2";"MOL";"-1";"28";"6";"1";"0";"388.1886";"1.10";"NEUTRAL";"C22H28O6";"C=CCc1cc(OC)c(OC(C)C(OC)c2ccc(O)c(OC)c2)c(OC)c1";"YRXTUYZHIHAYPF-UHFFFAOYSA-N";"InChI=1S/C22H28O6/c1-7-8-15-11-19(25-4)22(20(12-15)26-5)28-14(2)21(27-6)16-9-10-17(23)18(13-16)24-3/h7,9-14,21,23H,1,8H2,2-6H3";"False";"-1"
"CHEMBL4162723";"";"";"Small molecule";"";"471.40";"10";"17";"4.01";"112.13";"8";"1";"0";"6";"N";"0.42";"3.94";"0.08";"4.61";"1.42";"4";"MOL";"-1";"34";"9";"1";"0";"471.1154";"-1.74";"ACID";"C22H16F3N5O4";"CCOC(=O)c1cnn(-c2ccc(-n3cc(-c4cccc(C(=O)O)c4)nn3)cc2)c1C(F)(F)F";"ZGWMHBNCDPRDCJ-UHFFFAOYSA-N";"InChI=1S/C22H16F3N5O4/c1-2-34-21(33)17-11-26-30(19(17)22(23,24)25)16-8-6-15(7-9-16)29-12-18(27-28-29)13-4-3-5-14(10-13)20(31)32/h3-12H,2H2,1H3,(H,31,32)";"False";"-1"
