"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key";"Inchi";"Withdrawn Flag";"Orphan"
"CHEMBL3985375";"";"";"Small molecule";"";"420.49";"5";"5";"2.85";"85.99";"7";"1";"0";"4";"N";"0.55";"7.91";"None";"3.80";"3.69";"4";"MOL";"-1";"30";"7";"1";"0";"420.1256";"-1.76";"NEUTRAL";"C22H20N4O3S";"Cc1ccc(-c2csc(NC(=O)Cc3cccc4c3c(=O)n(C)c(=O)n4C)n2)cc1";"NNNQVSUPWVEWSZ-UHFFFAOYSA-N";"InChI=1S/C22H20N4O3S/c1-13-7-9-14(10-8-13)16-12-30-21(23-16)24-18(27)11-15-5-4-6-17-19(15)20(28)26(3)22(29)25(17)2/h4-10,12H,11H2,1-3H3,(H,23,24,27)";"False";"-1"
"CHEMBL3956363";"";"";"Small molecule";"";"495.41";"5";"5";"4.22";"85.99";"8";"1";"0";"4";"N";"0.46";"7.91";"None";"5.08";"4.97";"4";"MOL";"-1";"31";"7";"1";"0";"494.0041";"-2.06";"NEUTRAL";"C20H16Cl2N4O3S2";"Cc1sc2c(c1CC(=O)Nc1nc(-c3ccc(Cl)c(Cl)c3)cs1)c(=O)n(C)c(=O)n2C";"QSBZGESBJYBOBP-UHFFFAOYSA-N";"InChI=1S/C20H16Cl2N4O3S2/c1-9-11(16-17(28)25(2)20(29)26(3)18(16)31-9)7-15(27)24-19-23-14(8-30-19)10-4-5-12(21)13(22)6-10/h4-6,8H,7H2,1-3H3,(H,23,24,27)";"False";"-1"
"CHEMBL3927494";"";"";"Small molecule";"";"512.90";"5";"5";"4.12";"99.13";"8";"1";"1";"4";"N";"0.44";"7.91";"None";"4.19";"4.08";"4";"MOL";"-1";"34";"8";"1";"1";"512.0533";"-1.68";"NEUTRAL";"C21H16ClF3N4O4S";"Cc1oc2c(c1CC(=O)Nc1nc(-c3ccc(Cl)c(C(F)(F)F)c3)cs1)c(=O)n(C)c(=O)n2C";"DJDKJQHFJXTIKP-UHFFFAOYSA-N";"InChI=1S/C21H16ClF3N4O4S/c1-9-11(16-17(31)28(2)20(32)29(3)18(16)33-9)7-15(30)27-19-26-14(8-34-19)10-4-5-13(22)12(6-10)21(23,24)25/h4-6,8H,7H2,1-3H3,(H,26,27,30)";"False";"-1"
"CHEMBL3353594";"";"";"Small molecule";"";"538.85";"2";"2";"5.87";"87.57";"4";"1";"2";"6";"N";"0.40";"3.52";"None";"5.80";"2.43";"3";"MOL";"-1";"35";"6";"1";"2";"538.0189";"-1.44";"ACID";"C21H13ClF6N2O4S";"O=C(O)c1ccc(S(=O)(=O)N(Cc2ccc(C(F)(F)F)cc2)c2ncc(C(F)(F)F)cc2Cl)cc1";"TUOBMHOSEHCCIS-UHFFFAOYSA-N";"InChI=1S/C21H13ClF6N2O4S/c22-17-9-15(21(26,27)28)10-29-18(17)30(11-12-1-5-14(6-2-12)20(23,24)25)35(33,34)16-7-3-13(4-8-16)19(31)32/h1-10H,11H2,(H,31,32)";"False";"-1"
"CHEMBL3353603";"";"";"Small molecule";"";"535.93";"2";"2";"5.40";"111.36";"5";"1";"2";"7";"N";"0.43";"3.52";"None";"5.26";"1.89";"3";"MOL";"-1";"36";"7";"1";"2";"535.0580";"-1.42";"ACID";"C24H17ClF3N3O4S";"N#CC1(c2ccc(CN(c3ncc(C(F)(F)F)cc3Cl)S(=O)(=O)c3ccc(C(=O)O)cc3)cc2)CC1";"SNTSFXKELXMDNB-UHFFFAOYSA-N";"InChI=1S/C24H17ClF3N3O4S/c25-20-11-18(24(26,27)28)12-30-21(20)31(36(34,35)19-7-3-16(4-8-19)22(32)33)13-15-1-5-17(6-2-15)23(14-29)9-10-23/h1-8,11-12H,9-10,13H2,(H,32,33)";"False";"-1"
"CHEMBL5283847";"";"";"";"";"255.36";"1";"1";"2.97";"55.40";"3";"1";"0";"3";"Y";"0.84";"10.54";"None";"3.35";"3.35";"0";"MOL";"-1";"18";"4";"1";"0";"255.1834";"0.30";"NEUTRAL";"C14H25NO3";"CCOC(=O)NC(=O)[C@@H]1C[C@H](C)CC[C@H]1C(C)C";"AOTWCRSILVRYCS-GRYCIOLGSA-N";"InChI=1S/C14H25NO3/c1-5-18-14(17)15-13(16)12-8-10(4)6-7-11(12)9(2)3/h9-12H,5-8H2,1-4H3,(H,15,16,17)/t10-,11+,12-/m1/s1";"False";"-1"
"CHEMBL5272743";"";"";"";"";"243.31";"1";"1";"2.75";"47.90";"4";"0";"0";"4";"N";"0.83";"None";"1.82";"2.93";"2.93";"2";"MOL";"-1";"18";"4";"0";"0";"243.1372";"-0.93";"NEUTRAL";"C14H17N3O";"COc1cnc(-c2ccccn2)nc1CC(C)C";"LVVMRLLYLMFZJU-UHFFFAOYSA-N";"InChI=1S/C14H17N3O/c1-10(2)8-12-13(18-3)9-16-14(17-12)11-6-4-5-7-15-11/h4-7,9-10H,8H2,1-3H3";"False";"-1"
"CHEMBL4094500";"";"";"Small molecule";"";"312.44";"1";"1";"4.21";"25.24";"3";"0";"0";"4";"N";"0.71";"None";"None";"4.02";"4.02";"3";"MOL";"-1";"22";"3";"0";"0";"312.1296";"-2.30";"NEUTRAL";"C18H20N2OS";"CCN(Cc1cccs1)C(=O)c1cc2cc(C)ccc2n1C";"JNVZBLNPPQCHQM-UHFFFAOYSA-N";"InChI=1S/C18H20N2OS/c1-4-20(12-15-6-5-9-22-15)18(21)17-11-14-10-13(2)7-8-16(14)19(17)3/h5-11H,4,12H2,1-3H3";"False";"-1"
"CHEMBL3687385";"";"";"Small molecule";"";"544.55";"1";"1";"6.10";"96.80";"5";"1";"2";"8";"N";"0.29";"3.52";"1.29";"7.21";"3.84";"4";"MOL";"-1";"38";"7";"1";"2";"544.1280";"-1.05";"ACID";"C27H23F3N2O5S";"CCc1nc(N(Cc2ccc(OC(F)(F)F)cc2)S(=O)(=O)c2ccc(C(=O)O)cc2)c(C)c2ccccc12";"RMJHNPOUIQHSBJ-UHFFFAOYSA-N";"InChI=1S/C27H23F3N2O5S/c1-3-24-23-7-5-4-6-22(23)17(2)25(31-24)32(16-18-8-12-20(13-9-18)37-27(28,29)30)38(35,36)21-14-10-19(11-15-21)26(33)34/h4-15H,3,16H2,1-2H3,(H,33,34)";"False";"-1"
"CHEMBL3687339";"";"";"Small molecule";"";"533.59";"1";"1";"5.93";"92.50";"5";"1";"2";"7";"N";"0.29";"3.52";"0.72";"5.65";"2.28";"5";"MOL";"-1";"37";"7";"1";"2";"511.1566";"-0.97";"ACID";"C29H24N3NaO4S";"Cc1c(N(Cc2cc3ccccc3n2C2CC2)S(=O)(=O)c2ccc(C(=O)[O-])cc2)ncc2ccccc12.[Na+]";"DIGOAOMAZFWPLP-UHFFFAOYSA-M";"InChI=1S/C29H25N3O4S.Na/c1-19-26-8-4-2-7-22(26)17-30-28(19)31(37(35,36)25-14-10-20(11-15-25)29(33)34)18-24-16-21-6-3-5-9-27(21)32(24)23-12-13-23;/h2-11,14-17,23H,12-13,18H2,1H3,(H,33,34);/q;+1/p-1";"False";"-1"
"CHEMBL4751372";"";"";"Unknown";"";"412.41";"3";"3";"4.53";"63.40";"2";"1";"0";"6";"N";"0.60";"None";"None";"4.45";"4.45";"3";"MOL";"-1";"30";"4";"2";"0";"412.1399";"-1.14";"NEUTRAL";"C23H19F3N2O2";"C[C@H](c1cc(F)cc(F)c1F)N(C(=O)c1ccccc1)[C@@H](C(N)=O)c1ccccc1";"HZNMBIXVTRMYDZ-SPLOXXLWSA-N";"InChI=1S/C23H19F3N2O2/c1-14(18-12-17(24)13-19(25)20(18)26)28(23(30)16-10-6-3-7-11-16)21(22(27)29)15-8-4-2-5-9-15/h2-14,21H,1H3,(H2,27,29)/t14-,21-/m1/s1";"False";"-1"
"CHEMBL2442013";"";"";"Small molecule";"";"386.92";"3";"4";"4.65";"55.56";"3";"1";"0";"6";"N";"0.79";"None";"10.01";"4.03";"1.56";"2";"MOL";"-1";"27";"4";"2";"0";"386.1761";"-1.17";"BASE";"C22H27ClN2O2";"CCN(C(=O)c1ccccc1OCc1ccc(Cl)cc1)[C@@H]1CCC[C@H](N)C1";"QXCUMEVOECPFAM-RBUKOAKNSA-N";"InChI=1S/C22H27ClN2O2/c1-2-25(19-7-5-6-18(24)14-19)22(26)20-8-3-4-9-21(20)27-15-16-10-12-17(23)13-11-16/h3-4,8-13,18-19H,2,5-7,14-15,24H2,1H3/t18-,19+/m0/s1";"False";"-1"
"CHEMBL3353588";"";"";"Small molecule";"";"484.88";"2";"2";"4.89";"87.57";"4";"1";"0";"7";"N";"0.52";"3.52";"None";"5.21";"1.84";"3";"MOL";"-1";"32";"6";"1";"0";"484.0471";"-1.38";"ACID";"C21H16ClF3N2O4S";"O=C(O)c1ccc(S(=O)(=O)N(CCc2ccccc2)c2ncc(C(F)(F)F)cc2Cl)cc1";"XOKYWBMBYHJHEI-UHFFFAOYSA-N";"InChI=1S/C21H16ClF3N2O4S/c22-18-12-16(21(23,24)25)13-26-19(18)27(11-10-14-4-2-1-3-5-14)32(30,31)17-8-6-15(7-9-17)20(28)29/h1-9,12-13H,10-11H2,(H,28,29)";"False";"-1"
"CHEMBL3353590";"";"";"Small molecule";"";"476.90";"2";"2";"5.23";"87.57";"4";"1";"1";"6";"N";"0.62";"3.52";"None";"5.32";"1.95";"2";"MOL";"-1";"31";"6";"1";"1";"476.0784";"-1.47";"ACID";"C20H20ClF3N2O4S";"O=C(O)c1ccc(S(=O)(=O)N(CC2CCCCC2)c2ncc(C(F)(F)F)cc2Cl)cc1";"MOJQSYINFLURJD-UHFFFAOYSA-N";"InChI=1S/C20H20ClF3N2O4S/c21-17-10-15(20(22,23)24)11-25-18(17)26(12-13-4-2-1-3-5-13)31(29,30)16-8-6-14(7-9-16)19(27)28/h6-11,13H,1-5,12H2,(H,27,28)";"False";"-1"
"CHEMBL3577907";"";"";"Small molecule";"";"447.44";"11";"11";"5.01";"83.39";"4";"1";"1";"6";"N";"0.45";"0.94";"5.11";"3.08";"1.20";"4";"MOL";"-1";"33";"6";"1";"1";"447.1394";"-1.23";"ACID";"C25H19F2N3O3";"C[C@H](c1ccc(F)cc1F)N(Cc1cccc(C(=O)O)n1)C(=O)c1cc2ccccc2cn1";"AMONJXGXLUSOET-OAHLLOKOSA-N";"InChI=1S/C25H19F2N3O3/c1-15(20-10-9-18(26)12-21(20)27)30(14-19-7-4-8-22(29-19)25(32)33)24(31)23-11-16-5-2-3-6-17(16)13-28-23/h2-13,15H,14H2,1H3,(H,32,33)/t15-/m1/s1";"False";"-1"
"CHEMBL2442012";"";"";"Small molecule";"";"377.49";"1";"2";"3.87";"79.35";"4";"1";"0";"6";"N";"0.83";"None";"10.01";"3.28";"0.81";"2";"MOL";"-1";"28";"5";"2";"0";"377.2103";"-1.37";"BASE";"C23H27N3O2";"CCN(C(=O)c1ccccc1OCc1ccccc1C#N)C1CCCC(N)C1";"OLIMDZCNNKRFFE-UHFFFAOYSA-N";"InChI=1S/C23H27N3O2/c1-2-26(20-11-7-10-19(25)14-20)23(27)21-12-5-6-13-22(21)28-16-18-9-4-3-8-17(18)15-24/h3-6,8-9,12-13,19-20H,2,7,10-11,14,16,25H2,1H3";"False";"-1"
"CHEMBL2443070";"";"";"Small molecule";"";"454.83";"1";"1";"5.27";"67.87";"4";"1";"1";"2";"N";"0.67";"13.74";"None";"4.43";"4.43";"2";"MOL";"-1";"31";"6";"1";"1";"454.0907";"-1.15";"NEUTRAL";"C21H18ClF3N2O4";"O=C1CC2(CCN(C(=O)Nc3ccc(OC(F)(F)F)cc3)CC2)Oc2c(Cl)cccc21";"QHEARBFEUWKKAI-UHFFFAOYSA-N";"InChI=1S/C21H18ClF3N2O4/c22-16-3-1-2-15-17(28)12-20(31-18(15)16)8-10-27(11-9-20)19(29)26-13-4-6-14(7-5-13)30-21(23,24)25/h1-7H,8-12H2,(H,26,29)";"False";"-1"
"CHEMBL2442031";"";"";"Small molecule";"";"366.51";"1";"2";"4.39";"55.56";"3";"1";"0";"6";"N";"0.82";"None";"10.01";"3.84";"1.37";"2";"MOL";"-1";"27";"4";"2";"0";"366.2307";"-0.81";"BASE";"C23H30N2O2";"CC(C)N(C(=O)c1ccccc1OCc1ccccc1)[C@@H]1CCC[C@H](N)C1";"HIMBSBQMUNDJAS-VQTJNVASSA-N";"InChI=1S/C23H30N2O2/c1-17(2)25(20-12-8-11-19(24)15-20)23(26)21-13-6-7-14-22(21)27-16-18-9-4-3-5-10-18/h3-7,9-10,13-14,17,19-20H,8,11-12,15-16,24H2,1-2H3/t19-,20+/m0/s1";"False";"-1"
"CHEMBL3235974";"";"";"Small molecule";"";"415.39";"2";"2";"5.42";"45.23";"2";"1";"1";"2";"N";"0.57";"13.62";"4.81";"4.68";"4.68";"3";"MOL";"-1";"30";"4";"1";"1";"415.1308";"-1.46";"NEUTRAL";"C22H17F4N3O";"O=C(Nc1ccc(F)cc1)N1CCc2cnccc2C1c1ccc(C(F)(F)F)cc1";"JWIJQYXDPMEFKN-UHFFFAOYSA-N";"InChI=1S/C22H17F4N3O/c23-17-5-7-18(8-6-17)28-21(30)29-12-10-15-13-27-11-9-19(15)20(29)14-1-3-16(4-2-14)22(24,25)26/h1-9,11,13,20H,10,12H2,(H,28,30)";"False";"-1"
"CHEMBL3235980";"";"";"Small molecule";"";"422.41";"5";"6";"5.15";"69.02";"3";"1";"1";"2";"N";"0.62";"13.04";"3.47";"4.62";"4.62";"3";"MOL";"-1";"31";"5";"1";"1";"422.1354";"-1.59";"NEUTRAL";"C23H17F3N4O";"N#Cc1ccc(NC(=O)N2CCc3cccnc3[C@H]2c2ccc(C(F)(F)F)cc2)cc1";"PJWAFJPMMZFFDP-OAQYLSRUSA-N";"InChI=1S/C23H17F3N4O/c24-23(25,26)18-7-5-17(6-8-18)21-20-16(2-1-12-28-20)11-13-30(21)22(31)29-19-9-3-15(14-27)4-10-19/h1-10,12,21H,11,13H2,(H,29,31)/t21-/m1/s1";"False";"-1"
"CHEMBL4079299";"";"";"Small molecule";"";"575.70";"5";"5";"2.39";"160.13";"8";"4";"1";"8";"N";"0.34";"9.47";"None";"3.56";"3.56";"1";"MOL";"-1";"41";"11";"4";"2";"575.3207";"1.35";"NEUTRAL";"C30H45N3O8";"CC(C)C[C@@H]1NC(=O)[C@@H](CC(C)C)OC(=O)CCNC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CC(C)C)OC1=O";"VETVMJJYHCWIJV-JBXUNAHCSA-N";"InChI=1S/C30H45N3O8/c1-17(2)13-23-30(39)41-25(15-19(5)6)29(38)32-22(16-20-7-9-21(34)10-8-20)27(36)31-12-11-26(35)40-24(14-18(3)4)28(37)33-23/h7-10,17-19,22-25,34H,11-16H2,1-6H3,(H,31,36)(H,32,38)(H,33,37)/t22-,23-,24+,25-/m0/s1";"False";"-1"
"CHEMBL3353596";"";"";"Small molecule";"";"554.85";"2";"2";"5.75";"96.80";"5";"1";"2";"7";"N";"0.37";"3.52";"None";"6.36";"2.99";"3";"MOL";"-1";"36";"7";"1";"2";"554.0138";"-1.59";"ACID";"C21H13ClF6N2O5S";"O=C(O)c1ccc(S(=O)(=O)N(Cc2cccc(OC(F)(F)F)c2)c2ncc(C(F)(F)F)cc2Cl)cc1";"CRPGXZOGGKNDNJ-UHFFFAOYSA-N";"InChI=1S/C21H13ClF6N2O5S/c22-17-9-14(20(23,24)25)10-29-18(17)30(11-12-2-1-3-15(8-12)35-21(26,27)28)36(33,34)16-6-4-13(5-7-16)19(31)32/h1-10H,11H2,(H,31,32)";"False";"-1"
"CHEMBL3577901";"";"";"Small molecule";"";"440.50";"1";"1";"5.35";"79.73";"4";"1";"1";"7";"N";"0.42";"4.07";"2.97";"4.47";"1.65";"4";"MOL";"-1";"33";"6";"1";"1";"440.1736";"-1.14";"ACID";"C27H24N2O4";"COc1ccc(C(C)N(Cc2cccc(C(=O)O)c2)C(=O)c2cnc3ccccc3c2)cc1";"CISIDUHYOJBXAM-UHFFFAOYSA-N";"InChI=1S/C27H24N2O4/c1-18(20-10-12-24(33-2)13-11-20)29(17-19-6-5-8-22(14-19)27(31)32)26(30)23-15-21-7-3-4-9-25(21)28-16-23/h3-16,18H,17H2,1-2H3,(H,31,32)";"False";"-1"
"CHEMBL4079334";"";"";"Small molecule";"";"303.43";"2";"3";"3.74";"29.54";"3";"0";"0";"7";"N";"0.78";"None";"None";"3.89";"3.89";"2";"MOL";"-1";"21";"3";"0";"0";"303.1293";"-2.29";"NEUTRAL";"C17H21NO2S";"CCc1ccc(OCC(=O)N(CC)Cc2cccs2)cc1";"ALZFOWMRYFCKKN-UHFFFAOYSA-N";"InChI=1S/C17H21NO2S/c1-3-14-7-9-15(10-8-14)20-13-17(19)18(4-2)12-16-6-5-11-21-16/h5-11H,3-4,12-13H2,1-2H3";"False";"-1"
"CHEMBL4060474";"";"";"Small molecule";"";"317.41";"3";"6";"3.21";"38.77";"4";"0";"0";"6";"N";"0.82";"None";"None";"2.56";"2.56";"2";"MOL";"-1";"22";"4";"0";"0";"317.1086";"-2.10";"NEUTRAL";"C17H19NO3S";"CCN(Cc1cccs1)C(=O)COc1ccc2c(c1)COC2";"MGCZEZORMOGFLY-UHFFFAOYSA-N";"InChI=1S/C17H19NO3S/c1-2-18(9-16-4-3-7-22-16)17(19)12-21-15-6-5-13-10-20-11-14(13)8-15/h3-8H,2,9-12H2,1H3";"False";"-1"
"CHEMBL4246499";"";"";"Small molecule";"";"421.42";"3";"4";"5.36";"54.88";"3";"1";"1";"5";"N";"0.47";"None";"3.30";"4.90";"4.90";"4";"MOL";"-1";"31";"4";"1";"1";"421.1402";"-1.03";"NEUTRAL";"C24H18F3N3O";"O=C(N[C@@H](Cc1ccccc1)c1ncccc1C(F)(F)F)c1ccc2cccnc2c1";"BINBGFMPJSQVDS-NRFANRHFSA-N";"InChI=1S/C24H18F3N3O/c25-24(26,27)19-9-5-13-29-22(19)21(14-16-6-2-1-3-7-16)30-23(31)18-11-10-17-8-4-12-28-20(17)15-18/h1-13,15,21H,14H2,(H,30,31)/t21-/m0/s1";"False";"-1"
"CHEMBL4246078";"";"";"Small molecule";"";"407.39";"3";"4";"5.17";"54.88";"3";"1";"1";"4";"N";"0.51";"None";"3.13";"4.61";"4.61";"4";"MOL";"-1";"30";"4";"1";"1";"407.1245";"-1.18";"NEUTRAL";"C23H16F3N3O";"O=C(N[C@@H](c1ccccc1)c1ncccc1C(F)(F)F)c1ccc2cccnc2c1";"SJTMLURACBBWQI-FQEVSTJZSA-N";"InChI=1S/C23H16F3N3O/c24-23(25,26)18-9-5-13-28-21(18)20(16-6-2-1-3-7-16)29-22(30)17-11-10-15-8-4-12-27-19(15)14-17/h1-14,20H,(H,29,30)/t20-/m0/s1";"False";"-1"
"CHEMBL4250626";"";"";"Small molecule";"";"452.33";"4";"6";"4.48";"88.52";"4";"2";"0";"6";"N";"0.54";"3.74";"1.27";"4.95";"1.66";"3";"MOL";"-1";"32";"6";"2";"0";"452.0795";"-1.08";"ACID";"C21H13F5N2O4";"O=C(O)c1ccc(C(=O)N[C@@H](c2ccc(OC(F)(F)F)c(F)c2)c2ncccc2F)cc1";"FXZCBPORQDEBAL-KRWDZBQOSA-N";"InChI=1S/C21H13F5N2O4/c22-14-2-1-9-27-18(14)17(13-7-8-16(15(23)10-13)32-21(24,25)26)28-19(29)11-3-5-12(6-4-11)20(30)31/h1-10,17H,(H,28,29)(H,30,31)/t17-/m0/s1";"False";"-1"
"CHEMBL4248077";"";"";"Small molecule";"";"391.32";"10";"21";"3.45";"74.85";"3";"2";"0";"4";"N";"0.67";"10.53";"1.28";"2.41";"2.41";"3";"MOL";"-1";"28";"5";"2";"0";"391.0944";"-1.45";"NEUTRAL";"C19H13F4N3O2";"O=C(N[C@@H](c1ccc(C(F)(F)F)cc1)c1ncccc1F)c1ccc(=O)[nH]c1";"IJTSMWHYNKDXNG-INIZCTEOSA-N";"InChI=1S/C19H13F4N3O2/c20-14-2-1-9-24-17(14)16(11-3-6-13(7-4-11)19(21,22)23)26-18(28)12-5-8-15(27)25-10-12/h1-10,16H,(H,25,27)(H,26,28)/t16-/m0/s1";"False";"-1"
"CHEMBL4076583";"";"";"Small molecule";"";"512.69";"1";"1";"7.13";"66.38";"6";"1";"2";"12";"N";"0.31";"9.91";"None";"7.47";"7.47";"2";"MOL";"-1";"37";"6";"1";"2";"512.3138";"1.12";"NEUTRAL";"C31H44O6";"C=CCc1cc(OC)c(OC(C)C(O[C@@H]2C[C@H](C)CC[C@H]2C(C)C)c2ccc(O)c(OC)c2)c(OC)c1";"HMFWYEFLTIOYPR-ZYRDYAQLSA-N";"InChI=1S/C31H44O6/c1-9-10-22-16-28(34-7)31(29(17-22)35-8)36-21(5)30(23-12-14-25(32)27(18-23)33-6)37-26-15-20(4)11-13-24(26)19(2)3/h9,12,14,16-21,24,26,30,32H,1,10-11,13,15H2,2-8H3/t20-,21?,24+,26-,30?/m1/s1";"False";"-1"
"CHEMBL1289952";"";"";"Small molecule";"";"338.41";"1";"2";"4.04";"63.35";"3";"2";"0";"7";"N";"0.68";"None";"None";"3.85";"3.85";"3";"MOL";"-1";"25";"5";"2";"0";"338.1630";"-0.73";"NEUTRAL";"C20H22N2O3";"CCOC(=O)NCCc1c[nH]c2ccc(OCc3ccccc3)cc12";"DWBJTMILCRPGBU-UHFFFAOYSA-N";"InChI=1S/C20H22N2O3/c1-2-24-20(23)21-11-10-16-13-22-19-9-8-17(12-18(16)19)25-14-15-6-4-3-5-7-15/h3-9,12-13,22H,2,10-11,14H2,1H3,(H,21,23)";"False";"-1"
"CHEMBL1288718";"";"";"Small molecule";"";"262.31";"3";"5";"3.81";"48.81";"2";"1";"0";"4";"N";"0.78";"13.78";"None";"3.33";"3.33";"3";"MOL";"-1";"20";"3";"1";"0";"262.1106";"-0.53";"NEUTRAL";"C17H14N2O";"N#CCc1c[nH]c2ccc(OCc3ccccc3)cc12";"ADPRFNVFBYHCJQ-UHFFFAOYSA-N";"InChI=1S/C17H14N2O/c18-9-8-14-11-19-17-7-6-15(10-16(14)17)20-12-13-4-2-1-3-5-13/h1-7,10-11,19H,8,12H2";"False";"-1"
"CHEMBL1085101";"MORPHANTHRIDINE";"11H-Dibenzo[B,E]Azepine|Morphanthridine";"Small molecule";"";"193.25";"3";"4";"3.34";"12.36";"1";"0";"0";"0";"N";"0.52";"None";"2.60";"3.97";"3.97";"2";"MOL";"-1";"15";"1";"0";"0";"193.0891";"0.07";"NEUTRAL";"C14H11N";"C1=Nc2ccccc2Cc2ccccc21";"IDWNSAXOQLJYOF-UHFFFAOYSA-N";"InChI=1S/C14H11N/c1-2-7-13-10-15-14-8-4-3-6-12(14)9-11(13)5-1/h1-8,10H,9H2";"False";"-1"
"CHEMBL5284655";"";"";"";"";"237.25";"3";"5";"2.86";"50.19";"4";"1";"0";"2";"N";"0.82";"5.78";"None";"3.43";"2.09";"2";"MOL";"-1";"16";"3";"1";"0";"237.0260";"-1.81";"ACID";"C11H8FNO2S";"CC(=O)c1sc(-c2cccc(F)c2)nc1O";"FFBJDLDCZCTNCM-UHFFFAOYSA-N";"InChI=1S/C11H8FNO2S/c1-6(14)9-10(15)13-11(16-9)7-3-2-4-8(12)5-7/h2-5,15H,1H3";"False";"-1"
"CHEMBL258405";"ICILLIN";"ICILLIN|Icilin";"Small molecule";"3.0";"311.30";"34";"74";"2.87";"95.71";"4";"2";"0";"3";"N";"0.67";"8.63";"None";"2.17";"2.15";"2";"MOL";"0";"23";"7";"2";"0";"311.0906";"-0.66";"NEUTRAL";"C16H13N3O4";"O=C1NC(c2cccc([N+](=O)[O-])c2)=CCN1c1ccccc1O";"RCEFMOGVOYEGJN-UHFFFAOYSA-N";"InChI=1S/C16H13N3O4/c20-15-7-2-1-6-14(15)18-9-8-13(17-16(18)21)11-4-3-5-12(10-11)19(22)23/h1-8,10,20H,9H2,(H,17,21)";"False";"0"
"CHEMBL1779158";"";"N,N-Dibenzyltryptamine";"Small molecule";"";"340.47";"9";"14";"5.41";"19.03";"1";"1";"1";"7";"N";"0.48";"None";"9.46";"5.75";"3.70";"4";"MOL";"-1";"26";"2";"1";"1";"340.1939";"-0.64";"BASE";"C24H24N2";"c1ccc(CN(CCc2c[nH]c3ccccc23)Cc2ccccc2)cc1";"WEWPMAKQEUSKPV-UHFFFAOYSA-N";"InChI=1S/C24H24N2/c1-3-9-20(10-4-1)18-26(19-21-11-5-2-6-12-21)16-15-22-17-25-24-14-8-7-13-23(22)24/h1-14,17,25H,15-16,18-19H2";"False";"-1"
"CHEMBL3898642";"";"";"Small molecule";"";"392.89";"2";"2";"4.77";"63.40";"2";"1";"0";"6";"N";"0.66";"None";"None";"4.62";"4.62";"3";"MOL";"-1";"28";"4";"2";"0";"392.1292";"-1.12";"NEUTRAL";"C23H21ClN2O2";"C[C@H](c1cccc(Cl)c1)N(C(=O)c1ccccc1)[C@@H](C(N)=O)c1ccccc1";"XJZKEYDFQQZAPA-IIBYNOLFSA-N";"InChI=1S/C23H21ClN2O2/c1-16(19-13-8-14-20(24)15-19)26(23(28)18-11-6-3-7-12-18)21(22(25)27)17-9-4-2-5-10-17/h2-16,21H,1H3,(H2,25,27)/t16-,21-/m1/s1";"False";"-1"
"CHEMBL3235959";"";"";"Small molecule";"";"414.40";"4";"4";"6.02";"32.34";"1";"1";"1";"2";"N";"0.51";"11.37";"None";"5.89";"5.89";"3";"MOL";"-1";"30";"3";"1";"1";"414.1355";"-1.50";"NEUTRAL";"C23H18F4N2O";"O=C(Nc1ccccc1F)N1CCc2ccccc2[C@H]1c1ccc(C(F)(F)F)cc1";"IVTRAXDWFJKHBQ-OAQYLSRUSA-N";"InChI=1S/C23H18F4N2O/c24-19-7-3-4-8-20(19)28-22(30)29-14-13-15-5-1-2-6-18(15)21(29)16-9-11-17(12-10-16)23(25,26)27/h1-12,21H,13-14H2,(H,28,30)/t21-/m1/s1";"False";"-1"
"CHEMBL122413";"";"SB-366791";"Small molecule";"";"287.75";"11";"28";"4.00";"38.33";"2";"1";"0";"4";"N";"0.86";"None";"None";"4.02";"4.02";"2";"MOL";"-1";"20";"3";"1";"0";"287.0713";"-1.19";"NEUTRAL";"C16H14ClNO2";"COc1cccc(NC(=O)/C=C/c2ccc(Cl)cc2)c1";"RYAMDQKWNKKFHD-JXMROGBWSA-N";"InChI=1S/C16H14ClNO2/c1-20-15-4-2-3-14(11-15)18-16(19)10-7-12-5-8-13(17)9-6-12/h2-11H,1H3,(H,18,19)/b10-7+";"False";"-1"
