hidden_dim,dropout,lr,mean_auc,std_auc,mean_bal_acc,std_bal_acc
64,0.0,0.001,0.7352990733024004,0.05767433691356318,0.4732535612535613,0.0505606624817156
64,0.0,0.0005,0.7152466373670245,0.06321152867118203,0.4457459889038836,0.045955393819851774
64,0.2,0.001,0.7305488241229318,0.046798721046733514,0.4789776578197631,0.0455563739879274
64,0.2,0.0005,0.6954899684181293,0.06531329751201784,0.46773069425700997,0.04079980166437684
128,0.0,0.001,0.7515484593827001,0.03536511220430559,0.47855540560803717,0.0388874540794583
128,0.0,0.0005,0.7202995080416436,0.05822483079299554,0.46536632178737447,0.03843886734276563
128,0.2,0.001,0.7463659409477619,0.04255047271629271,0.47822552106762634,0.0412042470738986
128,0.2,0.0005,0.7186658564374838,0.05944395618445503,0.4712016794122057,0.04034436329025664
