hidden_dim,dropout,lr,mean_auc,std_auc,mean_balanced_acc,std_balanced_acc
64,0.0,0.001,0.792356016700693,0.06764065930814121,0.5817705802968962,0.07697050032362956
64,0.0,0.0005,0.8157801198319952,0.05721246152059153,0.5996104363472785,0.07579802484666948
64,0.0,0.0001,0.8464400672594866,0.03854996961730182,0.5794951267056531,0.09520473757933116
64,0.2,0.001,0.8138762046080558,0.040817104531392846,0.6019508172139751,0.06834637284851078
64,0.2,0.0005,0.8010161743098827,0.05423925657251104,0.5930098965362123,0.08531899656689476
64,0.2,0.0001,0.8286574902322028,0.03565377692276788,0.5597743289848552,0.07591635352179865
64,0.4,0.001,0.8147098068016095,0.04572131058779308,0.5514885290148449,0.07194163974320641
64,0.4,0.0005,0.8143735811979914,0.03818874583254145,0.5960994152046784,0.09110299955233703
64,0.4,0.0001,0.8311029877787288,0.04160917905813914,0.5693012445644025,0.07952510750840457
128,0.0,0.001,0.8234238128220281,0.05784621695017036,0.5814514919778078,0.08176320455789785
128,0.0,0.0005,0.8123878076562591,0.049557341543314835,0.5912747038536512,0.09718944406810176
128,0.0,0.0001,0.8211468912548767,0.035711123281443685,0.6007711800869695,0.06977275277816045
128,0.2,0.001,0.8022210494519932,0.05078086598025838,0.6004346978557505,0.0911693144269302
128,0.2,0.0005,0.8062019372261358,0.05294560102399129,0.5991376518218623,0.06383402986639063
128,0.2,0.0001,0.8299114537744302,0.037911098921620395,0.5936287299445193,0.07115724117269687
128,0.4,0.001,0.8284883581498826,0.0461253432005967,0.586497975708502,0.10070713762826286
128,0.4,0.0005,0.8059985258238435,0.06430686610554048,0.576605787974209,0.08827251514862376
128,0.4,0.0001,0.8272057120133345,0.046944072590556274,0.6107329434697856,0.08285934952015478
256,0.0,0.001,0.8115851464358725,0.05329896396485904,0.5954532913480282,0.06125375744700273
256,0.0,0.0005,0.8097326611570411,0.05486257699275809,0.6139119808067177,0.09968172622656242
256,0.0,0.0001,0.8224067657041039,0.04070740179284029,0.5911734892787524,0.07367920481335329
256,0.2,0.001,0.801242652051182,0.054533295127281174,0.578316539211276,0.03513193151106791
256,0.2,0.0005,0.7878515764164585,0.056102556848688555,0.5793484780326886,0.056173674453651797
256,0.2,0.0001,0.8181926453484227,0.046590918032700594,0.6084075573549257,0.0667954693462971
256,0.4,0.001,0.8135465795939177,0.05482102379999858,0.569487479382216,0.10308270644687048
256,0.4,0.0005,0.8252401573466305,0.04900967874351776,0.5838972859499174,0.0764428855378144
256,0.4,0.0001,0.8078491255501238,0.060081854651222476,0.6004026090868196,0.08869594524028221
