fpr,tpr
0.0,0.0
0.041666666666666664,0.3793103448275862
0.041666666666666664,0.4482758620689655
0.041666666666666664,0.4827586206896552
0.041666666666666664,0.6206896551724138
0.125,0.6206896551724138
0.125,0.6551724137931034
0.16666666666666666,0.6551724137931034
0.16666666666666666,0.6896551724137931
0.20833333333333334,0.6896551724137931
0.20833333333333334,0.7586206896551724
0.2916666666666667,0.7586206896551724
0.2916666666666667,0.7931034482758621
0.3333333333333333,0.7931034482758621
0.3333333333333333,0.8275862068965517
0.375,0.8275862068965517
0.375,0.896551724137931
0.4166666666666667,0.896551724137931
0.4166666666666667,0.9310344827586207
0.75,0.9310344827586207
0.75,1.0
1.0,1.0
