fold,mae,mse,rmse,r2
1,0.6861891746520996,0.6998583674430847,0.8365753806101903,0.44313526153564453
2,0.804541289806366,1.0897198915481567,1.0438964946526819,0.12422162294387817
3,0.6282511949539185,0.7876026630401611,0.887469809649974,0.15467065572738647
4,0.5994581580162048,0.6283568739891052,0.7926896454408278,0.4627625346183777
5,0.7306355834007263,0.826870858669281,0.9093243968294709,0.34544163942337036
6,0.6244687438011169,0.6828689575195312,0.8263588551710033,0.48166459798812866
7,0.7613575458526611,1.3240711688995361,1.150682914142526,0.08234387636184692
8,0.8591141104698181,1.2091219425201416,1.099600810530868,-0.1360948085784912
9,0.9020736217498779,1.230044960975647,1.1090739204289528,0.07333964109420776
10,0.6440276503562927,0.661981999874115,0.8136227626327296,0.5970370769500732
