Molecule ChEMBL ID,mw,mw_H,qed,max_charge,min_charge,max_abs_charge,min_abs_charge,aliphaticCarbocycles,aliphaticHeterocycles,aliphaticRings,aromaticCarbocycles,aromaticHeterocycles,aromaticRings,HAcceptors,HDonors,heteroatoms,rotatableBonds,saturatedCarbocycles,saturatedHeterocycles,satureatedRings,ringCount,molLogP,molMR
CHEMBL3894956,526.537,508.393,0.392682985,0.418722177,-0.301671456,0.418722177,0.301671456,0,0,0,1,3,4,8,1,13,5,0,0,0,4,4.3237,126.5287
CHEMBL3976535,563.341,548.221,0.37325828,0.422069321,-0.480987252,0.480987252,0.422069321,0,0,0,1,3,4,9,1,15,6,0,0,0,4,4.3828,128.1497
CHEMBL3942587,482.415,468.303,0.450361877,0.418744321,-0.447122679,0.447122679,0.418744321,0,0,0,1,3,4,8,1,13,4,0,0,0,4,3.2928,111.5397
CHEMBL3905460,496.442,480.314,0.435579726,0.416035868,-0.444149012,0.444149012,0.416035868,0,0,0,1,3,4,8,1,13,4,0,0,0,4,3.60122,116.2767
CHEMBL3892326,531.925,518.821,0.421827349,0.572647456,-0.404197097,0.572647456,0.404197097,0,0,0,1,3,4,10,1,15,5,0,0,0,4,3.5504,121.6787
CHEMBL3894760,501.393,489.297,0.430761094,0.421580836,-0.357786362,0.421580836,0.357786362,0,0,0,1,3,4,9,1,15,4,0,0,0,4,2.8269,109.2927
CHEMBL3900789,512.445,496.317,0.410962132,0.572697674,-0.402652395,0.572697674,0.402652395,0,0,0,1,3,4,10,1,15,5,0,0,0,4,2.3131,117.7207
CHEMBL3905406,493.442,478.322,0.440842641,0.418722177,-0.301672034,0.418722177,0.301672034,0,0,0,1,3,4,8,1,13,4,0,0,0,4,3.0948,117.0687
CHEMBL3687342,504.583,479.383,0.331206019,0.33517965,-0.477639243,0.477639243,0.33517965,1,0,1,3,1,4,4,1,8,8,1,0,1,5,5.72852,136.0781
CHEMBL3687362,522.573,498.381,0.300437358,0.33517965,-0.477639243,0.477639243,0.33517965,1,0,1,3,1,4,4,1,9,8,1,0,1,5,6.13872,136.3101
CHEMBL3972562,388.467,364.275,0.669315146,0.254605932,-0.496756759,0.496756759,0.254605932,0,0,0,3,0,3,3,1,5,7,0,0,0,3,3.8249,112.5592
CHEMBL3898239,514.432,499.312,0.418667777,0.418833063,-0.444149012,0.444149012,0.418833063,0,0,0,1,3,4,8,1,14,4,0,0,0,4,3.74032,116.2347
CHEMBL3912738,499.471,486.367,0.435247055,0.418722177,-0.301620704,0.418722177,0.301620704,0,0,0,1,3,4,9,1,14,4,0,0,0,4,3.1563,114.9457
CHEMBL3687361,503.605,482.437,0.325827779,0.33517965,-0.477639243,0.477639243,0.33517965,0,0,0,3,2,5,6,1,9,6,0,0,0,5,5.55504,137.6071
CHEMBL3687381,565.593,541.401,0.26696285,0.278321465,-0.544815108,0.544815108,0.278321465,2,0,2,3,1,4,5,0,10,9,2,0,2,6,5.5121,140.8773
CHEMBL3687404,609.98,590.828,0.223024911,0.420094736,-0.544815108,0.544815108,0.420094736,1,0,1,3,1,4,5,0,13,8,1,0,1,5,6.1678,138.9563
CHEMBL5268409,277.28,269.216,0.779150685,0.233681466,-0.492134113,0.492134113,0.233681466,0,0,0,1,2,3,6,1,7,2,0,0,0,3,3.01322,67.2018
