Molecule ChEMBL ID,,HOMO,LUMO,Electronegativity,Hardness
CHEMBL3687349,,-0.220918,-0.08165,0.151284,0.069634
CHEMBL3682557,,-0.019581,-0.009481,0.014531,0.00505
CHEMBL3682560,,-0.023805,0.003943,0.009931,0.013874000000000001
CHEMBL4246499,,-0.225732,-0.067221,0.1464765,0.0792555
CHEMBL3299024,,-0.217917,-0.03584,0.1268785,0.0910385
CHEMBL4247847,,-0.242297,-0.036652,0.1394745,0.10282250000000001
CHEMBL3911625,,-0.2065,-0.061707,0.1341035,0.0723965
CHEMBL3920559,,-0.205485,-0.061869,0.133677,0.071808
CHEMBL3918948,,-0.209818,-0.047582,0.1287,0.081118
CHEMBL3896353,,-0.203194,-0.03592,0.11955700000000001,0.083637
CHEMBL3947821,,-0.21793,-0.046137,0.1320335,0.0858965
CHEMBL3687321,,-0.023928,0.039898,-0.007985,0.031913000000000004
CHEMBL3687335,,-0.031737,0.005655,0.013041,0.018696
CHEMBL3687352,,-0.219933,-0.088046,0.1539895,0.0659435
CHEMBL3687374,,-0.225912,-0.087359,0.1566355,0.0692765
CHEMBL3951379,,-0.207637,-0.06281,0.1352235,0.0724135
CHEMBL1289835,,-0.175029,0.000753,0.087138,0.087891
CHEMBL357130,,-0.179123,-0.001859,0.090491,0.088632
CHEMBL3980601,,-0.204721,-0.058889,0.131805,0.072916
CHEMBL3889714,,-0.202619,-0.037681,0.12014999999999999,0.082469
CHEMBL3926675,,-0.200815,-0.046936,0.1238755,0.0769395
CHEMBL3299019,,-0.202328,-0.022223,0.1122755,0.0900525
CHEMBL3577885,,-0.225004,-0.074805,0.1499045,0.0750995
CHEMBL4647464,,-0.186471,-0.012485,0.099478,0.086993
CHEMBL1288717,,-0.200898,-0.025434,0.11316599999999999,0.087732
CHEMBL4246904,,-0.234867,-0.072686,0.15377649999999998,0.0810905
CHEMBL3687392,,-0.218868,-0.083295,0.1510815,0.0677865
CHEMBL3687397,,-0.220038,-0.085551,0.1527945,0.0672435
CHEMBL122413,,-0.207315,-0.069509,0.138412,0.068903
CHEMBL3235963,,-0.235431,-0.043877,0.139654,0.095777
CHEMBL3235973,,-0.206173,-0.037789,0.121981,0.084192
CHEMBL4752955,,-0.228249,-0.051498,0.1398735,0.0883755
CHEMBL3941901,,-0.214316,-0.053544,0.13393,0.080386
CHEMBL4247395,,-0.245091,-0.058545,0.151818,0.093273
CHEMBL4245344,,-0.236837,-0.074665,0.155751,0.081086
CHEMBL3353595,,-0.243128,-0.088611,0.1658695,0.0772585
CHEMBL3353596,,-0.243017,-0.092113,0.16756500000000002,0.075452
CHEMBL3353590,,-0.249642,-0.092498,0.17107,0.078572
CHEMBL2324349,,-0.213371,-0.089107,0.151239,0.062132
CHEMBL4238688,,-0.201624,-0.067449,0.1345365,0.0670875
CHEMBL3353591,,-0.197041,-0.091765,0.144403,0.052638
CHEMBL3353599,,-0.253398,-0.098622,0.17601,0.077388
CHEMBL3682544,,-0.019875,0.00292,0.0084775,0.0113975
CHEMBL3682553,,-0.025009,-0.002038,0.0135235,0.0114855
CHEMBL3682580,,-0.217976,-0.08797,0.152973,0.065003
CHEMBL3682552,,-0.208751,-0.078855,0.143803,0.064948
CHEMBL3682569,,-0.218658,-0.083721,0.1511895,0.0674685
CHEMBL3682575,,-0.200065,-0.083032,0.1415485,0.0585165
CHEMBL3682582,,-0.015855,0.003309,0.006273,0.009582
CHEMBL3687343,,-0.221267,-0.077991,0.149629,0.071638
CHEMBL3687346,,-0.224321,-0.080409,0.152365,0.071956
CHEMBL3687356,,-0.207752,-0.079319,0.14353549999999998,0.0642165
CHEMBL3687372,,-0.2205,-0.075586,0.148043,0.072457
