,Molecule ChEMBL ID,mw,mw_H,qed,max_charge,min_charge,max_abs_charge,min_abs_charge,aliphaticCarbocycles,aliphaticHeterocycles,aliphaticRings,aromaticCarbocycles,aromaticHeterocycles,aromaticRings,HAcceptors,HDonors,heteroatoms,rotatableBonds,saturatedCarbocycles,saturatedHeterocycles,satureatedRings,ringCount,molLogP,molMR
498,CHEMBL3613642,0.5507669738798304,0.5184285700860775,-0.14921409899527135,0.34555158992623225,1.693088707931661,-0.9402462896748466,-0.22665486956952383,-0.43887873378401415,1.438432453575276,0.8573209424948863,-0.18635243231973878,-1.3313903548400827,-1.3629769688033007,0.6782335156434505,-0.13192624042966428,1.3062389798627847,0.2650309242058152,-0.37419623123785817,2.9605934038158224,1.5799128391663746,-0.7876357089671842,-0.837241658353332,0.19734315984028758
499,CHEMBL3682587,1.345085244856194,1.3035253769371076,-1.3488970774804832,1.6720372413299864,-0.4720307413411193,1.4890410274470907,1.4896016441253077,-0.43887873378401415,-0.4170602971904646,-0.6299148569524761,1.0084955160832922,-0.19169232857645171,0.6956533720681974,0.6782335156434505,-0.13192624042966428,0.991818555560149,1.591537743827778,-0.37419623123785817,-0.31559625116818407,-0.4990871544247903,0.26576665026500085,1.2910197594657071,1.323753872184531
500,CHEMBL3687364,1.1307700732532262,1.0857721938651488,-1.2516791112061287,0.16036844469870568,-0.4720307413411193,0.014449497768709,0.5721766107700169,1.7690188961755648,-0.4170602971904646,0.8573209424948863,1.0084955160832922,-0.19169232857645171,0.6956533720681974,-0.29024840407448976,-0.13192624042966428,0.3629777069548776,1.1493688039537906,2.229254143544687,-0.31559625116818407,1.5799128391663746,1.3191690094971857,1.4456262954413597,1.2761866785596852
501,CHEMBL3956560,0.7001667480302338,0.7580801820355378,-0.46552275258268594,0.3915077566349473,-0.00681538682446312,-0.5056214900661031,0.8723290606651583,-0.43887873378401415,-0.4170602971904646,-0.6299148569524761,-1.3812003807227697,2.0877037239508103,0.6956533720681974,1.6467154353613909,-0.13192624042966428,1.6206594041654203,-0.61930695554216,-0.37419623123785817,-0.31559625116818407,-0.4990871544247903,0.26576665026500085,-0.7132770201704461,0.116898230132133
502,CHEMBL3697701,-2.5936838385353247,-2.5776279572670195,-0.2543094743209942,-2.142415949356276,0.4587464126644121,-1.0260797737568734,-2.4181687859773815,-0.43887873378401415,-0.4170602971904646,-0.6299148569524761,-1.3812003807227697,-1.3313903548400827,-2.39229213923905,-1.25873032379243,-0.13192624042966428,-1.8379652631635723,-1.0614758954161476,-0.37419623123785817,-0.31559625116818407,-0.4990871544247903,-2.894440427431554,-0.9237033456409205,-2.5233465723678448
503,CHEMBL3896592,-0.27101220441004775,-0.26162397180461244,0.1919995796793957,-0.38133067351808864,1.8717245974880965,-2.2714373672093155,-0.36825676092654747,-0.43887873378401415,-0.4170602971904646,-0.6299148569524761,-0.18635243231973878,0.9480056976871792,0.6956533720681974,1.1624744755024206,-0.13192624042966428,0.04855728265224191,-0.61930695554216,-0.37419623123785817,-0.31559625116818407,-0.4990871544247903,0.26576665026500085,-1.8641488257699195,0.07510805120804932
504,CHEMBL3973094,0.1441182237987309,0.07231072646619481,-0.044834512362234076,-0.38133067351808864,1.9723430114658793,-2.2714373672093155,-0.4480154127852312,-0.43887873378401415,-0.4170602971904646,-0.6299148569524761,-0.18635243231973878,0.9480056976871792,0.6956533720681974,1.1624744755024206,-0.13192624042966428,-0.2658631416503938,-0.61930695554216,-0.37419623123785817,-0.31559625116818407,-0.4990871544247903,0.26576665026500085,-0.6363773435415927,0.8986121790364603
505,CHEMBL3896060,0.10473364255603826,0.14211333035582505,9.563158011673085e-05,-0.38133067351808864,1.972343165905117,-2.2714373672093155,-0.4480155352068129,-0.43887873378401415,-0.4170602971904646,-0.6299148569524761,-0.18635243231973878,0.9480056976871792,0.6956533720681974,1.1624744755024206,-0.13192624042966428,0.3629777069548776,-0.61930695554216,-0.37419623123785817,-0.31559625116818407,-0.4990871544247903,0.26576665026500085,-1.028326644082275,0.25885438975496405
506,CHEMBL3931425,0.32495703748182625,0.3658695155728111,-0.1738565632434305,1.6720372652614237,0.5259037278892711,1.48904107127443,0.698554511075666,-0.43887873378401415,-0.4170602971904646,-0.6299148569524761,-1.3812003807227697,2.0877037239508103,0.6956533720681974,2.130956395220361,-0.13192624042966428,1.3062389798627847,-0.1771380156681724,-0.37419623123785817,-0.31559625116818407,-0.4990871544247903,0.26576665026500085,-1.5210961706432231,0.07254566565529097
507,CHEMBL3937790,0.3463059896338002,0.3985428430373029,-0.2807493191039704,0.36726787213509854,1.5469120437766697,-0.9004757208117672,-0.11078290135527594,-0.43887873378401415,-0.4170602971904646,-0.6299148569524761,-1.3812003807227697,2.0877037239508103,0.6956533720681974,1.6467154353613909,-0.13192624042966428,1.3062389798627847,-0.61930695554216,-0.37419623123785817,-0.31559625116818407,-0.4990871544247903,0.26576665026500085,-1.3198437872170872,-0.007726885388403534
508,CHEMBL2440148,-0.11535035690115346,-0.10346502055351767,0.9349814569934669,1.672037382872512,-0.5440025637790605,1.489041286663963,1.546652588406046,-0.43887873378401415,3.293925204341016,2.3445567419422484,-0.18635243231973878,-1.3313903548400827,-1.3629769688033007,-0.29024840407448976,-0.13192624042966428,0.3629777069548776,-1.5036448352901353,-0.37419623123785817,2.9605934038158224,1.5799128391663746,0.26576665026500085,0.07518526781622378,-0.5622504134195032
509,CHEMBL2443082,-0.4368391983981339,-0.4520749345944718,0.7738844842197635,0.34343963993783927,-0.5999443951376849,0.15744602538043517,0.8099088567300426,-0.43887873378401415,3.293925204341016,2.3445567419422484,-0.18635243231973878,-1.3313903548400827,-1.3629769688033007,-1.25873032379243,-0.13192624042966428,-0.2658631416503938,-1.9458137751641227,-0.37419623123785817,2.9605934038158224,1.5799128391663746,0.26576665026500085,0.44773113763706995,-0.6697541345647882
510,CHEMBL3901461,-0.5001140184125994,-0.5822561916378922,0.4597372049207296,-1.024348116146091,-0.7375936215055282,0.31132609068094297,-0.9662703768501623,-0.43887873378401415,-0.4170602971904646,-0.6299148569524761,1.0084955160832922,-1.3313903548400827,-0.3336617983675517,-0.7744893639334599,-2.0492542680074513,-1.2091244145583009,0.7071998640798028,-0.37419623123785817,-0.31559625116818407,-0.4990871544247903,-0.7876357089671842,-0.38203717366598466,0.16124147684332701
